Month-Year,Utility,Utility sub-region,Customer class,Supply type,customers,load,Date
4/1/20,Emera Maine,Bangor Hydro District,Large,Standard offer customers,18,189.4153585,4/1/20
4/1/20,Emera Maine,Bangor Hydro District,Small,CEP customers,10719,201.1996088,4/1/20
4/1/20,Emera Maine,Bangor Hydro District,Small,Standard offer customers,117131,1864.784189,4/1/20
4/1/20,Emera Maine,Maine Public District,Large,CEP customers,13,366.5371,4/1/20
4/1/20,Emera Maine,Maine Public District,Large,Standard offer customers,2,1.1136,4/1/20
4/1/20,Central Maine Power,N/A,Small,CEP customers,80574,1707.331833,4/1/20
4/1/20,Central Maine Power,N/A,Small,Standard offer customers,546290,10770.91773,4/1/20
4/1/20,Central Maine Power,N/A,Medium,CEP customers,5300,3087.663633,4/1/20
4/1/20,Central Maine Power,N/A,Medium,Standard offer customers,6025,1695.527667,4/1/20
3/1/20,Emera Maine,Bangor Hydro District,Medium,CEP customers,854,728,3/1/20
3/1/20,Emera Maine,Bangor Hydro District,Medium,Standard offer customers,969,385,3/1/20
3/1/20,Central Maine Power,N/A,Medium,CEP customers,5301,3404.396355,3/1/20
3/1/20,Central Maine Power,N/A,Medium,Standard offer customers,6115,1921.811516,3/1/20
3/1/20,Emera Maine,Maine Public District,Medium,CEP customers,79,119,3/1/20
3/1/20,Emera Maine,Maine Public District,Medium,Standard offer customers,121,108,3/1/20
3/1/20,Central Maine Power,N/A,Small,CEP customers,81583,1753.557387,3/1/20
3/1/20,Central Maine Power,N/A,Small,Standard offer customers,547930,10992.43323,3/1/20
3/1/20,Central Maine Power,N/A,Large,CEP customers,354,7755.757484,3/1/20
3/1/20,Central Maine Power,N/A,Large,Standard offer customers,54,173.4995161,3/1/20
3/1/20,Emera Maine,Maine Public District,Small,CEP customers,394,23,3/1/20
3/1/20,Emera Maine,Maine Public District,Small,Standard offer customers,35238,823,3/1/20
3/1/20,Emera Maine,Bangor Hydro District,Large,CEP customers,32,418,3/1/20
3/1/20,Emera Maine,Bangor Hydro District,Large,Standard offer customers,18,167,3/1/20
3/1/20,Emera Maine,Maine Public District,Large,CEP customers,13,425,3/1/20
3/1/20,Emera Maine,Maine Public District,Large,Standard offer customers,2,3,3/1/20
3/1/20,Emera Maine,Bangor Hydro District,Small,CEP customers,10772,220,3/1/20
