,Index,Name,Type,Link,Full URL,real_urls
211,11,MAINELY GLASS INC.,ASSUMED,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20160661%2BD&sa=D&ust=1569253417184000&usg=AFQjCNGi20Sh5bL9Gpopnomj_IzTb5qmAg,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20160661+D
212,12,"MAINELY GLOVES, LLC",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20113741DC&sa=D&ust=1569253417185000&usg=AFQjCNEuR0SFehMRf6WmiYNWOqbU11wUrA,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20113741DC
213,13,MAINELY GOAT RESCUE,LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20180404ND&sa=D&ust=1569253417185000&usg=AFQjCNHlga9yhdAgstD6_FJUd6ZV32Vfdw,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20180404ND
214,14,MAINELY GOAT SOAP,MARK,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm%3D20160127%2BM&sa=D&ust=1569253417186000&usg=AFQjCNE5uDzY2QNkrvygn4Es6dYvLWzvQQ,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20160127+M
215,15,MAINELY GOLF CONSTRUCTION,LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D19991830%2BD&sa=D&ust=1569253417186000&usg=AFQjCNFpi9D6N362QtrJ0JaraV_1GB-blA,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19991830+D
216,16,MAINELY GOURMET FOODS & GIFTS L.L.C.,LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D19980126DC&sa=D&ust=1569253417187000&usg=AFQjCNEKlxud09U6QFgdz-8qOe8cxdkmbw,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19980126DC
217,17,MAINELY GOURMET,MARK,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm%3D19870240%2BM&sa=D&ust=1569253417188000&usg=AFQjCNG805WFPsY6BEXmEhSAfPMCB6cVsw,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19870240+M
218,18,MAINELY GOURMET,MARK,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm%3D20080199%2BM&sa=D&ust=1569253417188000&usg=AFQjCNHebKbVLIJD2OEoS3KjQaxQFkcVRw,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20080199+M
219,19,"MAINELY GRASS HOLDINGS, LLC",LEGAL,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20175562DC&sa=D&ust=1569253417189000&usg=AFQjCNFm7qh4pttAgvmrpcXqDhcMsaiQJQ,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20175562DC
220,20,"MAINELY GRASS OF NORTHEASTERN MA, INC.",FORMER,Information Summary,https://www.google.com/url?q=https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm%3D20150994%2BD&sa=D&ust=1569253417189000&usg=AFQjCNFf-roalBPJuhSSC7FlPUCe-yfZtw,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20150994+D
