"","ZIP","TOTAL_POP","TOTAL_ADULTS"
"419","ZCTA5 04974",2592,2132
"420","ZCTA5 04975",28,28
"421","ZCTA5 04976",9770,7708
"422","ZCTA5 04978",766,638
"423","ZCTA5 04979",866,701
"424","ZCTA5 04981",2522,2263
"425","ZCTA5 04982",562,439
"426","ZCTA5 04983",1809,1339
"427","ZCTA5 04984",576,470
"428","ZCTA5 04985",51,45
"429","ZCTA5 04986",1657,1291
"430","ZCTA5 04987",960,738
"431","ZCTA5 04988",2373,1914
"432","ZCTA5 04989",4207,3428
"433","ZCTA5 04992",105,105
