city,make,model,vehicle_count,all_vehicles,vehicle_share,cty,terry_hayes,janet_mills,shawn_moody,others,blank,total_votes_cast,town,winner,winner_share
Waterville,Toyo,Corolla,373,9359,0.039854685329629233892509,KEN,345,3705,1839,0,172,6061,Waterville,Janet Mills,61.128526645768025078369900
Orland,Gmc,Sierra,113,2279,0.049583150504607283896445,HAN,84,555,515,0,21,1175,Orland,Janet Mills,47.234042553191489361702100
Prospect,Chev,Silverado,33,635,0.051968503937007874015748,WAL,16,131,170,0,19,336,Prospect,Shawn Moody,50.595238095238095238095200
Lubec,Chev,Silverado,73,1118,0.065295169946332737030411,WAS,38,410,243,0,19,710,Lubec,Janet Mills,57.746478873239436619718300
Gorham,Chev,Silverado,416,14476,0.028737220226581928709588,CUM,390,4039,4424,0,147,9000,Gorham,Shawn Moody,49.155555555555555555555500
York,Ford,F150,327,14000,0.023357142857142857142857,YOR,437,4456,2729,0,237,7859,York,Janet Mills,56.6993256139457946303600
Lamoine,Chev,Silverado,74,1655,0.04471299093655589123867,HAN,69,459,435,0,21,984,Lamoine,Janet Mills,46.646341463414634146341400
Jonesport,Chev,Silverado,62,1121,0.055307760927743086529884,WAS,22,216,286,0,19,543,Jonesport,Shawn Moody,52.670349907918968692449300
Hammond,Gmc,Sierra,7,71,0.098591549295774647887323,ARO,1,11,18,0,0,30,Hammond,Shawn Moody,60.0
Houlton,Chev,Silverado,209,4327,0.048301363531314998844464,ARO,184,729,1099,0,68,2080,Houlton,Shawn Moody,52.836538461538461538461500
Passadumkeag,Gmc,Sierra,19,324,0.058641975308641975308641,PEN,8,49,118,0,0,175,Passadumkeag,Shawn Moody,67.428571428571428571428500
Newport,Chev,Silverado,135,2802,0.0481798715203426124197,PEN,56,480,766,0,42,1344,Newport,Shawn Moody,56.99404761904761904761900
Northfield,Gmc,Sierra,16,137,0.116788321167883211678832,WAS,7,41,43,0,1,92,Northfield,Shawn Moody,46.739130434782608695652100
Skowhegan,Chev,Silverado,378,6964,0.054279149913842619184376,SOM,146,1548,1483,0,104,3281,Skowhegan,Janet Mills,47.180737580006095702529700
Blaine,Gmc,Sierra,58,754,0.076923076923076923076923,ARO,15,66,239,0,8,328,Blaine,Shawn Moody,72.865853658536585365853600
Matinicus Isle Plt,Gmc,Sierra,6,52,0.115384615384615384615384,KNO,6,28,11,0,2,47,Matinicus Isle Plt,Janet Mills,59.574468085106382978723400
Greenbush,Gmc,Sierra,83,1286,0.064541213063763608087091,PEN,20,151,347,0,12,530,Greenbush,Shawn Moody,65.471698113207547169811300
Hanover,Toyo,Rav4,13,309,0.042071197411003236245954,OXF,7,70,70,0,4,151,Hanover,Tie,0
Pittston,Chev,Silverado,106,2601,0.040753556324490580545943,KEN,80,545,761,0,28,1414,Pittston,Shawn Moody,53.818953323903818953323900
Monroe,Chev,Silverado,36,927,0.03883495145631067961165,WAL,20,279,213,1,9,522,Monroe,Janet Mills,53.448275862068965517241300
Grand Falls Twp,Gmc,Sierra,3,20,0.15,PEN,0,4,8,0,0,12,Grand Falls Twp,Shawn Moody,66.666666666666666666666600
Beddington,Chev,Silverado,4,46,0.086956521739130434782608,WAS,0,11,21,0,1,33,Beddington,Shawn Moody,63.636363636363636363636300
Litchfield,Chev,Silverado,149,3666,0.040643753409710856519367,KEN,124,638,932,0,34,1728,Litchfield,Shawn Moody,53.935185185185185185185100
Sebago,Chev,Silverado,85,1896,0.044831223628691983122362,CUM,38,356,529,2,12,937,Sebago,Shawn Moody,56.456776947705442902881500
Long Island,Club,Glfcrt,76,557,0.136445242369838420107719,CUM,5,104,50,0,4,163,Long Island,Janet Mills,63.803680981595092024539800
Lincolnville,Chev,Silverado,88,2416,0.036423841059602649006622,WAL,66,833,470,0,29,1398,Lincolnville,Janet Mills,59.585121602288984263233100
Crystal,Gmc,Sierra,18,240,0.075,ARO,11,26,75,0,0,112,Crystal,Shawn Moody,66.964285714285714285714200
Winterport,Gmc,Sierra,140,3549,0.03944773175542406311637,WAL,97,830,909,0,37,1873,Winterport,Shawn Moody,48.531767218366257341163900
Roxbury,Gmc,Sierra,24,400,0.06,OXF,18,78,105,0,4,205,Roxbury,Shawn Moody,51.219512195121951219512100
Acton,Ford,F150,104,2775,0.037477477477477477477477,YOR,78,445,685,0,29,1237,Acton,Shawn Moody,55.375909458367016976556100
Sandy River Plt,Chev,Silverado,10,151,0.066225165562913907284768,FRA,1,46,40,0,2,89,Sandy River Plt,Janet Mills,51.685393258426966292134800
South Portland,Toyo,Camry,621,23227,0.026736126060188573642743,CUM,647,9072,3308,0,295,13322,South Portland,Janet Mills,68.097883200720612520642500
Belfast,Chev,Silverado,204,5453,0.037410599669906473500825,WAL,171,2342,1006,0,104,3623,Belfast,Janet Mills,64.642561413193486061275100
Scarborough,Toyo,Camry,504,18507,0.027232938887988328740476,CUM,545,6110,4917,0,269,11841,Scarborough,Janet Mills,51.60037159023731103791900
Gray,Chev,Silverado,300,7671,0.039108330074305827141181,CUM,231,1794,2135,0,97,4257,Gray,Shawn Moody,50.15268968757340850364100
Newcastle,Suba,Forester,82,1852,0.044276457883369330453563,LIN,44,742,358,2,23,1169,Newcastle,Janet Mills,63.473053892215568862275400
Milbridge,Ford,F150,74,1445,0.051211072664359861591695,WAS,26,239,241,2,12,520,Milbridge,Shawn Moody,46.346153846153846153846100
Mars Hill,Ford,F150,58,1051,0.05518553758325404376784,ARO,32,149,410,0,17,608,Mars Hill,Shawn Moody,67.434210526315789473684200
Limerick,Chev,Silverado,121,2869,0.042174973858487277797141,YOR,100,546,691,0,21,1358,Limerick,Shawn Moody,50.883652430044182621502200
Buckfield,Chev,Silverado,83,1828,0.045404814004376367614879,OXF,222,258,420,0,17,917,Buckfield,Shawn Moody,45.801526717557251908396900
Perham,Gmc,Sierra,23,319,0.07210031347962382445141,ARO,9,46,110,0,6,171,Perham,Shawn Moody,64.327485380116959064327400
Canton,Ford,F150,36,873,0.041237113402061855670103,OXF,62,135,220,1,20,438,Canton,Shawn Moody,50.22831050228310502283100
Dixmont,Chev,Silverado,72,1158,0.062176165803108808290155,PEN,35,239,320,0,25,619,Dixmont,Shawn Moody,51.696284329563812600969300
Waterboro,Chev,Silverado,301,7437,0.040473309130025547935995,YOR,210,1128,1738,0,62,3138,Waterboro,Shawn Moody,55.385595920968769917144600
Talmadge,Chev,Silverado,4,43,0.093023255813953488372093,WAS,1,13,18,0,0,32,Talmadge,Shawn Moody,56.2500
Harpswell,Suba,Forester,180,5152,0.034937888198757763975155,CUM,149,1788,1210,0,101,3248,Harpswell,Janet Mills,55.04926108374384236453200
Hancock,Chev,Silverado,103,2205,0.046712018140589569160997,HAN,54,469,565,0,18,1106,Hancock,Shawn Moody,51.084990958408679927667200
Kennebunk,Suba,Forester,318,11101,0.028646067921808846049905,YOR,308,3792,2423,0,127,6650,Kennebunk,Janet Mills,57.022556390977443609022500
Wade,Chev,Silverado,13,222,0.058558558558558558558558,ARO,9,35,65,0,3,112,Wade,Shawn Moody,58.035714285714285714285700
Bath,Suba,Forester,267,6561,0.04069501600365797896662,SAG,257,2633,1213,15,98,4216,Bath,Janet Mills,62.452561669829222011385100
Crawford,Chev,Silverado,11,108,0.101851851851851851851851,WAS,3,15,39,0,0,57,Crawford,Shawn Moody,68.42105263157894736842100
Otisfield,Ford,F150,65,1767,0.036785512167515563101301,OXF,73,371,458,0,12,914,Otisfield,Shawn Moody,50.109409190371991247264700
Embden,Chev,Silverado,46,915,0.050273224043715846994535,SOM,28,174,235,0,7,444,Embden,Shawn Moody,52.927927927927927927927900
Fort Kent,Ford,F150,114,2714,0.042004421518054532056005,ARO,101,804,741,0,77,1723,Fort Kent,Janet Mills,46.662797446314567614625600
Medway,Gmc,Sierra,58,1143,0.050743657042869641294838,PEN,37,180,336,0,19,572,Medway,Shawn Moody,58.741258741258741258741200
Island Falls,Gmc,Sierra,45,633,0.071090047393364928909952,ARO,27,114,183,0,5,329,Island Falls,Shawn Moody,55.62310030395136778115500
New Limerick,Gmc,Sierra,31,555,0.055855855855855855855855,ARO,14,87,188,1,5,295,New Limerick,Shawn Moody,63.72881355932203389830500
Saint Francis,Chev,Silverado,15,275,0.054545454545454545454545,ARO,15,127,63,0,14,219,Saint Francis,Janet Mills,57.990867579908675799086700
Leeds,Chev,Silverado,87,2125,0.040941176470588235294117,AND,85,372,565,0,16,1038,Leeds,Shawn Moody,54.431599229287090558766800
Chelsea,Gmc,Sierra,87,2484,0.035024154589371980676328,KEN,90,464,649,0,19,1222,Chelsea,Shawn Moody,53.109656301145662847790500
Bethel,Chev,Silverado,87,2567,0.033891702376314764316322,OXF,106,758,563,0,37,1464,Bethel,Janet Mills,51.775956284153005464480800
Sherman,Chev,Impala,32,664,0.04819277108433734939759,ARO,41,121,321,0,9,492,Sherman,Shawn Moody,65.243902439024390243902400
Harmony,Gmc,Sierra,39,763,0.051114023591087811271297,SOM,28,122,229,0,10,389,Harmony,Shawn Moody,58.868894601542416452442100
Carthage,Ford,F150,22,492,0.044715447154471544715447,FRA,21,89,119,0,11,240,Carthage,Shawn Moody,49.583333333333333333333300
Ashland,Gmc,Sierra,64,1042,0.061420345489443378119001,ARO,41,149,251,0,20,461,Ashland,Shawn Moody,54.446854663774403470715800
Charlotte,Chev,Silverado,24,305,0.078688524590163934426229,WAS,8,63,91,0,9,171,Charlotte,Shawn Moody,53.216374269005847953216300
Danforth,Gmc,Sierra,43,479,0.089770354906054279749478,WAS,25,79,180,0,14,298,Danforth,Shawn Moody,60.402684563758389261744900
Hiram,Chev,Silverado,73,1521,0.047994740302432610124917,OXF,32,272,347,0,12,663,Hiram,Shawn Moody,52.337858220211161387631900
Springfield,Ford,F150,23,288,0.079861111111111111111111,PEN,9,24,91,0,1,125,Springfield,Shawn Moody,72.800
Belgrade,Chev,Silverado,145,3247,0.044656606097936556821681,KEN,75,749,889,0,37,1750,Belgrade,Shawn Moody,50.800
Moose River,Gmc,Sierra,18,205,0.087804878048780487804878,SOM,4,15,66,0,2,87,Moose River,Shawn Moody,75.862068965517241379310300
Jonesboro,Gmc,Sierra,44,519,0.084778420038535645472061,WAS,8,118,128,0,3,257,Jonesboro,Shawn Moody,49.80544747081712062256800
Mattamiscontis Twp,Ford,F150,7,88,0.079545454545454545454545,PEN,3,4,29,0,0,36,Mattamiscontis Twp,Shawn Moody,80.555555555555555555555500
Exeter,Ford,F150,50,943,0.053022269353128313891834,PEN,37,154,248,0,13,452,Exeter,Shawn Moody,54.867256637168141592920300
Edgecomb,Suba,Forester,58,1233,0.047039740470397404703974,LIN,31,377,297,0,12,717,Edgecomb,Janet Mills,52.580195258019525801952500
Wellington,Ford,F150,12,198,0.060606060606060606060606,PIS,4,48,36,0,1,89,Wellington,Janet Mills,53.932584269662921348314600
Eastbrook,Chev,Silverado,16,361,0.0443213296398891966759,HAN,13,50,93,0,2,158,Eastbrook,Shawn Moody,58.860759493670886075949300
Argyle Twp,Gmc,Sierra,13,220,0.05909090909090909090909,PEN,7,22,38,0,1,68,Argyle Twp,Shawn Moody,55.882352941176470588235200
Deblois,Toyo,Tacoma,4,54,0.074074074074074074074074,WAS,1,7,18,0,0,26,Deblois,Shawn Moody,69.230769230769230769230700
Boothbay Harbor,Suba,Forester,69,2037,0.033873343151693667157584,LIN,61,644,493,1,31,1230,Boothbay Harbor,Janet Mills,52.357723577235772357723500
Newburgh,Chev,Silverado,85,1510,0.056291390728476821192052,PEN,37,293,476,0,16,822,Newburgh,Shawn Moody,57.907542579075425790754200
Morrill,Chev,Silverado,43,855,0.050292397660818713450292,WAL,29,208,259,0,10,506,Morrill,Shawn Moody,51.185770750988142292490100
Alexander,Chev,Silverado,47,507,0.092702169625246548323471,WAS,7,74,154,1,6,242,Alexander,Shawn Moody,63.636363636363636363636300
Newfield,Chev,Silverado,59,1628,0.03624078624078624078624,YOR,54,267,401,0,15,737,Newfield,Shawn Moody,54.409769335142469470827600
Monmouth,Chev,Silverado,192,3987,0.048156508653122648607975,KEN,159,816,1042,0,36,2053,Monmouth,Shawn Moody,50.754992693619094008767600
Blue Hill,Suba,Outback,122,2751,0.044347509996364958197019,HAN,84,1037,503,0,25,1649,Blue Hill,Janet Mills,62.886597938144329896907200
Caswell,Gmc,Sierra,20,233,0.085836909871244635193133,ARO,11,55,43,0,5,114,Caswell,Janet Mills,48.245614035087719298245600
Kittery,Ford,F150,215,9155,0.023484434735117422173675,YOR,271,3163,1381,0,167,4982,Kittery,Janet Mills,63.488558811722199919710900
Hamlin,Chev,Silverado,12,179,0.067039106145251396648044,ARO,4,34,47,0,3,88,Hamlin,Shawn Moody,53.40909090909090909090900
Union,Chev,Silverado,90,2221,0.040522287257991895542548,KNO,72,535,618,1,20,1246,Union,Shawn Moody,49.598715890850722311396400
Caribou,Gmc,Sierra,325,6235,0.052125100240577385725741,ARO,281,1141,1594,0,92,3108,Caribou,Shawn Moody,51.28700128700128700128700
Bingham,Chev,Silverado,59,743,0.079407806191117092866756,SOM,27,180,222,0,18,447,Bingham,Shawn Moody,49.664429530201342281879100
Kingfield,Suba,Outback,31,1038,0.029865125240847784200385,FRA,43,319,326,0,22,710,Kingfield,Shawn Moody,45.915492957746478873239400
Boothbay,Chev,Silverado,139,3355,0.04143070044709388971684,LIN,89,925,789,2,40,1845,Boothbay,Janet Mills,50.135501355013550135501300
Raymond,Chev,Silverado,147,4450,0.033033707865168539325842,CUM,133,1117,1273,0,28,2551,Raymond,Shawn Moody,49.901999215993727949823500
Wilton,Ford,F150,117,3347,0.034956677621750821631311,FRA,115,886,844,0,38,1883,Wilton,Janet Mills,47.052575677110993096123200
Cutler,Gmc,Sierra,32,426,0.075117370892018779342723,WAS,10,79,153,0,6,248,Cutler,Shawn Moody,61.693548387096774193548300
Biddeford,Toyo,Camry,471,17015,0.027681457537466940934469,YOR,483,4559,3010,1,207,8260,Biddeford,Janet Mills,55.193704600484261501210600
Saint George,Chev,Silverado,102,2701,0.037763791188448722695298,KNO,75,868,545,0,27,1515,Saint George,Janet Mills,57.293729372937293729372900
Frankfort,Chev,Silverado,52,1109,0.04688908926961226330027,WAL,40,190,294,0,18,542,Frankfort,Shawn Moody,54.243542435424354243542400
Burnham,Chev,Silverado,71,1133,0.062665489849955869373345,WAL,18,211,276,0,12,517,Burnham,Shawn Moody,53.384912959381044487427400
Lewiston,Toyo,Camry,750,23644,0.031720521062425985450854,AND,962,7056,5497,13,350,13878,Lewiston,Janet Mills,50.843060959792477302204900
Maxfield,Gmc,Sierra,5,87,0.057471264367816091954022,PEN,1,15,28,0,3,47,Maxfield,Shawn Moody,59.574468085106382978723400
Harrington,Chev,Silverado,56,838,0.066825775656324582338902,WAS,20,126,231,0,7,384,Harrington,Shawn Moody,60.1562500
