CEP load (kWh) monthly,Year
1625761161.41045,1/1/2013
45643420.4285714,1/1/2008
834271246.432252,1/1/2018
1457856899.55361,1/1/2014
1029421302.57517,1/1/2012
32533000,1/1/2006
1109923627.36114,1/1/2015
219216780.029885,1/1/2011
1011313832.76274,1/1/2016
865880640.805557,1/1/2017
43735043.8571429,1/1/2007
73210043,1/1/2009
449916381.326089,1/1/2019
171607153.714286,1/1/2010
