entity_folder_id,entity_id,folder_name,folder_path,allow_rename_ind,allow_subfolder_ind,allow_upload_ind,allow_delete_ind,more_public_files_ind,parent_folder_id,file_count,create_ts,last_update_ts
9032fe5e-d99b-9ba7-baf5-4a46fe478070,73288,Political Files,Political Files,N,N,N,N,N,,3470,2016-02-29T15:09:02-05:00,2016-02-29T15:09:02-05:00
81e5f0fe-d41e-316b-9826-d4d2cc4ee152,73288,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T15:09:02-05:00,2016-02-29T15:09:02-05:00
8efe0e61-5152-c2b2-0e5c-a1a72a539237,84088,Political Files,Political Files,N,N,N,N,N,,3602,2016-02-29T15:01:09-05:00,2016-02-29T15:01:09-05:00
453de281-a4c2-a896-bf81-0eee596078be,84088,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T15:01:09-05:00,2016-02-29T15:01:09-05:00
82e0f4ed-405b-66c8-7432-8fc80ec975cf,17514,Political Files,Political Files,N,N,N,N,N,,0,2016-02-29T17:33:27-05:00,2016-02-29T17:33:27-05:00
4a9df150-726b-727c-4fef-f0059682f8db,17514,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T17:33:27-05:00,2016-02-29T17:33:27-05:00
49d4a3c6-d197-4175-91dd-da35ac015a32,74068,Political Files,Political Files,N,N,N,N,N,,40,2016-02-29T17:34:45-05:00,2016-02-29T17:34:45-05:00
1fd8848d-9e82-225d-19d9-46c8656dc087,74068,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T17:34:45-05:00,2016-02-29T17:34:45-05:00
3c1ec4bd-d0dd-10b0-8fcf-848771790878,3140,Political Files,Political Files,N,N,N,N,N,,21,2016-02-29T17:55:49-05:00,2016-02-29T17:55:49-05:00
ecbf458f-162c-40cb-f6ac-626cf6901067,3140,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T17:55:49-05:00,2016-02-29T17:55:49-05:00
1428731f-6e94-e6b2-a4f5-97793e7da679,9202,Political Files,Political Files,N,N,N,N,N,,175,2016-02-29T17:43:38-05:00,2016-02-29T17:43:38-05:00
1fa23fc7-92a4-7050-62e5-67c6f7a8052a,9202,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T17:43:38-05:00,2016-02-29T17:43:38-05:00
049e59ff-11c1-80e3-86a6-7cdfb9e04a30,73088,Political Files,Political Files,N,N,N,N,N,,49,2016-02-29T17:23:47-05:00,2016-02-29T17:23:47-05:00
6fa475dc-0dab-05f9-655c-abc3a8c35742,73088,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T17:23:47-05:00,2016-02-29T17:23:47-05:00
13313844-fbab-f1ce-bb14-7254f31e3215,17671,Political Files,Political Files,N,N,N,N,N,,48,2016-02-29T18:11:01-05:00,2016-02-29T18:11:01-05:00
4d1fa876-5407-881e-2d33-e68848ba42af,17671,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T18:11:01-05:00,2016-02-29T18:11:01-05:00
e6e017a5-899e-60d6-4e81-92291c581421,33287,Political Files,Political Files,N,N,N,N,N,,0,2016-02-29T17:58:38-05:00,2016-02-29T17:58:38-05:00
e30776b6-e039-290c-6303-eab9ec69d292,33287,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T17:58:38-05:00,2016-02-29T17:58:38-05:00
c7162bff-4ef9-3197-4ed3-ad90e5e730d3,3670,Political Files,Political Files,N,N,N,N,N,,282,2016-02-29T17:29:45-05:00,2016-02-29T17:29:45-05:00
9561ad3e-92f0-74d5-cab0-716b06f72e7d,3670,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T17:29:45-05:00,2016-02-29T17:29:45-05:00
5c1ac7cd-ba01-620e-5978-53196e73366a,49517,Political Files,Political Files,N,N,N,N,N,,13,2016-02-29T17:57:03-05:00,2016-02-29T17:57:03-05:00
c1d8a3b4-d47e-6b3e-2b56-2f28e215924e,49517,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,6,2016-02-29T17:57:03-05:00,2016-02-29T17:57:03-05:00
6306e788-7406-c026-5ff4-e99fc87a3ae7,9209,Political Files,Political Files,N,N,N,N,N,,5,2016-02-29T18:05:57-05:00,2016-02-29T18:05:57-05:00
f34e2b2f-0a77-05eb-ecb3-ef52b7ac9e9a,9209,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T18:05:57-05:00,2016-02-29T18:05:57-05:00
d3d7f89f-368f-858b-6130-55c45c9d85f5,9423,Political Files,Political Files,N,N,N,N,N,,0,2016-02-29T17:47:02-05:00,2016-02-29T17:47:02-05:00
532a0964-d0be-f847-8e98-89b6d5dffd75,9423,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T17:47:02-05:00,2016-02-29T17:47:02-05:00
bec8d520-60d3-e0a0-795d-ab0e30486d56,58544,Political Files,Political Files,N,N,N,N,N,,287,2016-02-29T18:06:54-05:00,2016-02-29T18:06:54-05:00
a1d55d71-525b-f11a-8cd1-285e353d9e3d,58544,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T18:06:54-05:00,2016-02-29T18:06:54-05:00
3e3b7fe2-2a40-742a-bb9d-01c30c95aab7,24994,Political Files,Political Files,N,N,N,N,N,,1,2016-02-29T17:59:41-05:00,2016-02-29T17:59:41-05:00
58030394-b2ff-1ce8-bde1-7ad8ecfa8eb4,24994,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T17:59:41-05:00,2016-02-29T17:59:41-05:00
437c1e4e-28d1-7170-9a94-54e82133c8e9,33469,Political Files,Political Files,N,N,N,N,N,,0,2016-02-29T17:53:47-05:00,2016-02-29T17:53:47-05:00
03863d51-6ccc-1e15-1ae2-c4377846214f,33469,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T17:53:47-05:00,2016-02-29T17:53:47-05:00
e2a99132-85f6-85b6-3f72-947a389dfe24,49983,Political Files,Political Files,N,N,N,N,N,,28,2016-02-29T17:55:12-05:00,2016-02-29T17:55:12-05:00
b677c19f-7068-dd3a-c1b1-35e3856df872,49983,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T17:55:12-05:00,2016-02-29T17:55:12-05:00
3c0f819e-7ce7-07cf-d0ee-a8c20491e88e,160465,Political Files,Political Files,N,N,N,N,N,,3,2016-02-29T17:36:06-05:00,2016-02-29T17:36:06-05:00
