,id,callSign,frequency,activeInd,medium
148,1151,KAZQ,488.0,Y,tv
149,3659,KOZL-TV,554.0,Y,tv
150,3661,WTVW,518.0,Y,tv
151,69114,WUNE-TV,488.0,Y,tv
152,69993,WBQP-CD,204.0,Y,tv
153,70251,WPXR-TV,548.0,Y,tv
154,70287,WTJX-TV,650.0,Y,tv
155,22215,KSTU,554.0,Y,tv
156,71072,KORX-CD,482.0,Y,tv
157,71074,KOXI-CD,500.0,Y,tv
158,71353,WDSI-TV,470.0,Y,tv
159,71357,WDSU,500.0,Y,tv
160,71861,WKYU-TV,494.0,Y,tv
161,34457,KGBT-TV,494.0,Y,tv
162,34564,KICU-TV,602.0,Y,tv
163,35189,KMTR,488.0,Y,tv
164,2770,KETS,174.0,Y,tv
165,9617,WBBM-TV,204.0,Y,tv
166,35587,KSAZ-TV,192.0,Y,tv
167,35666,KTEN,488.0,Y,tv
168,12522,KWKT-TV,554.0,Y,tv
169,20287,WATM-TV,572.0,Y,tv
170,21726,WPXX-TV,584.0,Y,tv
171,72326,WHTM-TV,192.0,Y,tv
172,72338,WHYY-TV,210.0,Y,tv
173,72362,KSNK,204.0,Y,tv
174,23074,KUSA,186.0,Y,tv
175,24783,WGVK,76.0,Y,tv
176,24914,WKYT-TV,512.0,Y,tv
177,35852,KVHP,494.0,Y,tv
178,72618,KAZT-CD,548.0,Y,tv
179,8620,KFSN-TV,566.0,Y,tv
180,9629,WCCO-TV,578.0,Y,tv
181,9640,KCCW-TV,204.0,Y,tv
182,73230,WLTV-DT,524.0,Y,tv
183,411,WRGT-TV,566.0,Y,tv
184,10205,KTXL,518.0,Y,tv
185,73881,WPIX,198.0,Y,tv
186,73905,WPTA,530.0,Y,tv
187,74420,WLNS-TV,470.0,Y,tv
188,24618,WGNM,656.0,Y,tv
189,25382,KWTV-DT,536.0,Y,tv
190,25395,WFUP,656.0,Y,tv
191,74424,WKBT-DT,180.0,Y,tv
192,77451,KPTH,680.0,Y,tv
193,77452,KPCB-DT,488.0,Y,tv
194,3001,WCCV-TV,596.0,Y,tv
195,16940,KBCA,542.0,Y,tv
196,77483,KPXO-TV,578.0,Y,tv
197,77496,WVUA,82.0,Y,tv
198,27503,WKIN-CD,174.0,Y,tv
199,77515,WYCI,590.0,Y,tv
200,78908,WSKA,536.0,Y,tv
201,81447,KUNP,482.0,Y,tv
202,81451,KUTH-DT,578.0,Y,tv
203,83180,KKAI,536.0,Y,tv
204,37444,KVBI-CD,,Y,tv
205,83913,KCEB,596.0,Y,tv
206,83929,WHDT,638.0,Y,tv
207,84214,WWTW,524.0,Y,tv
208,84453,KFXL-TV,476.0,Y,tv
209,86263,KUPB,494.0,Y,tv
210,7692,WBPX-TV,518.0,Y,tv
211,35575,WTVX,506.0,Y,tv
212,35582,WYDO,500.0,Y,tv
213,166511,KCWV,548.0,Y,tv
214,414,WXLV-TV,560.0,Y,tv
215,1328,WABC-TV,174.0,Y,tv
216,4152,WTVY,602.0,Y,tv
217,35954,KXII,204.0,Y,tv
218,167588,WYHB-CD,,Y,tv
219,4354,WPCT,584.0,Y,tv
220,12472,WXTX,530.0,Y,tv
221,13815,KYUR,204.0,Y,tv
222,37809,WAGV,470.0,Y,tv
223,167765,WIIH-CD,,Y,tv
224,167797,KUNW-CD,,Y,tv
225,1255,KXTF,590.0,Y,tv
226,7890,KOLN,494.0,Y,tv
227,167799,KABH-CD,,Y,tv
228,168094,WYGA-CD,,Y,tv
229,18267,WKOP-TV,560.0,Y,tv
230,40876,KGTV,192.0,Y,tv
231,41223,KPHO-TV,488.0,Y,tv
232,11910,KOKI-TV,518.0,Y,tv
233,13814,KJUD,198.0,Y,tv
234,13924,WPCB-TV,554.0,Y,tv
235,6669,KBTX-TV,482.0,Y,tv
236,10177,KTMW,506.0,Y,tv
237,8564,KLRU,518.0,Y,tv
238,19200,WTNZ,476.0,Y,tv
239,35584,KSAX,638.0,Y,tv
240,49579,KAWB,554.0,Y,tv
241,148,KAKW-DT,210.0,Y,tv
242,4035,KBNT-CD,488.0,Y,tv
243,8378,KQSL,524.0,Y,tv
244,23079,KARE,572.0,Y,tv
245,25544,WMYV,554.0,Y,tv
246,9628,KCBS-TV,572.0,Y,tv
247,30601,KHRR,482.0,Y,tv
248,31590,WCTV,506.0,Y,tv
249,37176,WLTX,476.0,Y,tv
250,146,WXIN,518.0,Y,tv
251,11034,K20DN-D,506.0,Y,tv
252,33639,KYMA-DT,210.0,Y,tv
253,33756,KBZK,210.0,Y,tv
