93,EARMARKED FOR END CITIZENS UNITED PAC (C00573261)
94,EARMARKED FOR PROGRESSIVE TURNOUT PROJECT (C00580068)
95,EARMARKED FOR DEMOCRATIC CONSERVATION ALLIANCE PAC (C00657452)
96,EARMARKED FOR PROGRESSIVE TURNOUT PROJECT (C00580068)
97,EARMARKED FOR END CITIZENS UNITED PAC (C00573261)
98,EARMARKED FOR DCCC (C00000935)
99,CONTRIBUTION TO ACTBLUE
100,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
101,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
102,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
103,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
104,EARMARKED FOR MCCONNELL SENATE COMMITTEE (C00193342)
105,EARMARKED FOR NRCC (C00075820)
106,EARMARKED FOR MCCONNELL SENATE COMMITTEE  (C00193342)
107,EARMARKED FOR MCCONNELL SENATE COMMITTEE  (C00193342)
108,EARMARKED FOR MCCONNELL SENATE COMMITTEE  (C00193342)
109,EARMARKED FOR MCCONNELL SENATE COMMITTEE  (C00193342)
110,EARMARKED FOR MCCONNELL SENATE COMMITTEE  (C00193342)
111,EARMARKED FOR REPUBLICAN NATIONAL COMMITTEE (C00003418)
112,"EARMARKED FOR DONALD J. TRUMP FOR PRESIDENT, INC. (C00580100)"
113,"EARMARKED FOR DONALD J. TRUMP FOR PRESIDENT, INC. (C00580100)"
114,"EARMARKED FOR DONALD J. TRUMP FOR PRESIDENT, INC. (C00580100)"
115,EARMARKED FOR TEXANS FOR SENATOR JOHN CORNYN INC. (C00369033)
116,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
117,"EARMARKED FOR DONALD J. TRUMP FOR PRESIDENT, INC. (C00580100)"
118,EARMARKED FOR MAINE REPUBLICAN PARTY (C00003111)
119,"EARMARKED FOR DONALD J. TRUMP FOR PRESIDENT, INC. (C00580100)"
120,EARMARKED FOR REPUBLICAN PARTY OF KENTUCKY (C00156810)
121,EARMARKED FOR REPUBLICAN PARTY OF KENTUCKY (C00156810)
122,EARMARKED FOR REPUBLICAN PARTY OF KENTUCKY (C00156810)
123,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
124,EARMARKED FOR REPUBLICAN PARTY OF KENTUCKY (C00156810)
125,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
126,EARMARKED FOR REPUBLICAN NATIONAL COMMITTEE (C00003418)
127,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
128,EARMARKED FOR CORY GARDNER FOR SENATE (C00492454)
129,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
130,EARMARKED FOR REPUBLICAN PARTY OF KENTUCKY (C00156810)
131,EARMARKED FOR REPUBLICAN PARTY OF KENTUCKY (C00156810)
132,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
133,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
134,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
135,"EARMARKED FOR DONALD J. TRUMP FOR PRESIDENT, INC. (C00580100)"
136,EARMARKED FOR REPUBLICAN PARTY OF KENTUCKY (C00156810)
137,EARMARKED FOR REPUBLICAN NATIONAL COMMITTEE (C00003418)
138,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
139,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
140,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
141,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
142,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
143,"EARMARKED FOR DONALD J. TRUMP FOR PRESIDENT, INC. (C00580100)"
144,EARMARKED FOR REPUBLICAN NATIONAL COMMITTEE (C00003418)
145,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
146,"EARMARKED FOR DONALD J. TRUMP FOR PRESIDENT, INC. (C00580100)"
147,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
148,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
149,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
150,EARMARKED FOR REPUBLICAN PARTY OF KENTUCKY (C00156810)
151,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
152,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
153,EARMARKED FOR CORY GARDNER FOR SENATE (C00492454)
154,EARMARKED FOR REPUBLICAN NATIONAL COMMITTEE (C00003418)
155,EARMARKED FOR MAINE REPUBLICAN PARTY (C00003111)
156,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
157,"EARMARKED FOR DONALD J. TRUMP FOR PRESIDENT, INC. (C00580100)"
158,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
159,"EARMARKED FOR DONALD J. TRUMP FOR PRESIDENT, INC. (C00580100)"
160,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
161,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
162,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
163,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
164,"EARMARKED FOR DONALD J. TRUMP FOR PRESIDENT, INC. (C00580100)"
165,EARMARKED FOR MCCONNELL SENATE COMMITTEE (C00193342)
166,"EARMARKED FOR DONALD J. TRUMP FOR PRESIDENT, INC. (C00580100)"
167,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
168,"EARMARKED FOR DONALD J. TRUMP FOR PRESIDENT, INC. (C00580100)"
169,"EARMARKED FOR DONALD J. TRUMP FOR PRESIDENT, INC. (C00580100)"
170,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
171,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
172,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
173,EARMARKED FOR REPUBLICAN NATIONAL COMMITTEE (C00003418)
174,EARMARKED FOR REPUBLICAN NATIONAL COMMITTEE (C00003418)
175,"EARMARKED FOR DONALD J. TRUMP FOR PRESIDENT, INC. (C00580100)"
176,EARMARKED FOR REPUBLICAN NATIONAL COMMITTEE (C00003418)
177,"EARMARKED FOR DONALD J. TRUMP FOR PRESIDENT, INC. (C00580100)"
178,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
179,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
180,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
181,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
182,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
183,EARMARKED FOR REPUBLICAN NATIONAL COMMITTEE (C00003418)
184,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
185,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
186,"EARMARKED FOR DONALD J. TRUMP FOR PRESIDENT, INC. (C00580100)"
187,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
188,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
189,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
190,EARMARKED FOR REPUBLICAN NATIONAL COMMITTEE (C00003418)
191,"EARMARKED FOR DONALD J. TRUMP FOR PRESIDENT, INC. (C00580100)"
192,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
193,"EARMARKED FOR DONALD J. TRUMP FOR PRESIDENT, INC. (C00580100)"
194,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
195,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
196,"EARMARKED FOR DONALD J. TRUMP FOR PRESIDENT, INC. (C00580100)"
197,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
198,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
199,EARMARKED FOR TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE (C00618371)
