Date,FTE equivalent
Jan-17,46.35
Feb-17,43.83
Mar-17,40.53
Apr-17,39.8068125
May-17,27.06521739
Jun-17,39.26352273
Jul-17,31.63988095
Aug-17,24.93206522
Sep-17,28.88625
Oct-17,46.34659091
Nov-17,47.19375
Dec-17,77.04017857
Jan-18,64.29
Feb-18,58.84
Mar-18,47.8
Apr-18,31.82
May-18,14.39
Jun-18,15.31
Jul-18,18.11
Aug-18,15.28
Sep-18,15.61
