,make,model,vehicle_count,all_vehicles,vehicle_share,terry_hayes,janet_mills,shawn_moody,others,blank,total_votes_cast,town,winner,winner_share
236,Chev,Silverado,67,916,0.07314410480349347,35,85,250,1,7,378,Littleton,Shawn Moody,66.13756613756613
237,Ford,F150,58,1441,0.040249826509368494,46,228,383,0,13,670,Porter,Shawn Moody,57.1641791044776
238,Chev,Silverado,51,477,0.1069182389937107,10,77,113,0,3,203,Moscow,Shawn Moody,55.66502463054187
239,Ford,F150,96,2540,0.03779527559055119,59,563,740,0,26,1388,Jefferson,Shawn Moody,53.31412103746397
240,Chev,Silverado,80,1522,0.05256241787122208,36,247,491,0,14,788,Baldwin,Shawn Moody,62.30964467005075
241,Chev,Impala,7,125,0.055999999999999994,4,16,41,0,1,62,Reed Plt,Shawn Moody,66.12903225806456
242,Gmc,Sierra,147,3087,0.04761904761904762,79,663,994,0,33,1769,Holden,Shawn Moody,56.18993781797626
243,Chev,Silverado,40,899,0.04449388209121246,15,204,272,0,8,499,Brooks,Shawn Moody,54.509018036072135
244,Ford,F150,29,318,0.09119496855345915,6,41,127,0,4,178,Waltham,Shawn Moody,71.34831460674155
245,Ford,F150,97,2132,0.04549718574108817,90,474,413,0,24,1001,Mexico,Janet Mills,47.35264735264736
246,Chev,Silverado,81,1524,0.0531496062992126,86,264,413,0,18,781,Peru,Shawn Moody,52.8809218950064
247,Chev,Silverado,40,718,0.05571030640668524,13,112,252,0,6,383,Otis,Shawn Moody,65.7963446475196
248,Ford,F150,5,56,0.08928571428571426,4,4,22,0,0,30,Hersey,Shawn Moody,73.33333333333333
249,Suba,Forester,36,707,0.05091937765205092,25,271,167,0,8,471,Alna,Janet Mills,57.53715498938427
250,Chev,Silverado,6,135,0.044444444444444446,5,41,41,0,1,88,Madawaska Lake,Tie,0.0
251,Chev,Silverado,65,1179,0.0551314673452078,31,251,283,0,17,582,East Machias,Shawn Moody,48.6254295532646
252,Suba,Outback,38,663,0.05731523378582201,24,250,145,0,10,429,Carrabassett Valley,Janet Mills,58.27505827505828
253,Chev,Silverado,175,4021,0.0435215120616762,115,733,1109,0,31,1988,Naples,Shawn Moody,55.78470824949696
254,Chev,Silverado,113,2070,0.05458937198067632,54,348,480,0,20,902,Anson,Shawn Moody,53.21507760532152
255,Chev,Silverado,139,3423,0.04060765410458662,120,722,999,1,36,1878,West Gardiner,Shawn Moody,53.19488817891373
256,Ford,F150,12,207,0.05797101449275361,0,0,1,0,0,1,Orneville Twp,Shawn Moody,100.0
257,Toyo,Camry,515,17814,0.028909846188391156,492,5127,3492,1,166,9278,Saco,Janet Mills,55.25975425738306
258,Chev,Silverado,28,394,0.07106598984771574,20,72,111,0,9,212,Portage Lake,Shawn Moody,52.35849056603772
259,Chev,Silverado,185,2339,0.0790936297563061,87,488,546,0,52,1173,Calais,Shawn Moody,46.54731457800511
260,Chev,Silverado,428,9188,0.04658249891162386,242,1818,2528,0,61,4649,Standish,Shawn Moody,54.37728543772854
261,Chev,Silverado,101,2960,0.03412162162162161,82,451,722,0,17,1272,Shapleigh,Shawn Moody,56.761006289308156
262,Ford,F150,25,436,0.057339449541284414,24,123,123,0,1,271,Weld,Tie,0.0
263,Suba,Outback,119,3493,0.03406813627254509,94,1283,675,0,74,2126,Rockport,Janet Mills,60.34807149576671
264,Chev,Silverado,45,1082,0.041589648798521256,39,411,226,0,16,692,Eastport,Janet Mills,59.39306358381504
265,Chev,Silverado,30,835,0.03592814371257484,26,196,226,0,12,460,Troy,Shawn Moody,49.130434782608695
266,Chev,Silverado,139,4182,0.03323768531802965,212,952,1011,0,42,2217,Norway,Shawn Moody,45.6021650879567
267,Chev,Silverado,21,664,0.031626506024096376,26,194,183,0,11,414,Waldo,Janet Mills,46.85990338164251
268,Ford,F150,28,691,0.04052098408104198,23,138,192,0,19,372,New Vineyard,Shawn Moody,51.61290322580644
269,Chev,Silverado,78,1612,0.04838709677419354,45,335,322,0,19,721,Brownfield,Janet Mills,46.4632454923717
270,Dodg,Ram,2,21,0.09523809523809525,0,4,17,0,0,21,Drew Plt,Shawn Moody,80.95238095238095
271,Chev,Silverado,23,432,0.053240740740740734,21,150,100,0,4,275,Temple,Janet Mills,54.545454545454554
272,Gmc,Sierra,66,1204,0.05481727574750832,28,159,332,0,34,553,Plymouth,Shawn Moody,60.03616636528026
273,Ford,F150,43,739,0.05818673883626521,19,110,273,0,15,417,Jackman,Shawn Moody,65.46762589928059
274,Gmc,Sierra,14,247,0.056680161943319825,5,42,73,0,3,123,Smyrna,Shawn Moody,59.34959349593496
275,Chev,Silverado,46,639,0.07198748043818466,26,173,157,0,17,373,Eagle Lake,Janet Mills,46.38069705093834
276,Gmc,Sierra,26,452,0.0575221238938053,14,66,153,0,6,239,Bridgewater,Shawn Moody,64.01673640167363
277,Chev,Silverado,315,6923,0.045500505561172896,223,1747,1698,0,97,3765,Ellsworth,Janet Mills,46.40106241699867
278,Chev,Silverado,43,1071,0.04014939309056957,33,250,349,0,12,644,Strong,Shawn Moody,54.19254658385093
279,Toyo,Camry,289,7511,0.03847690054586607,217,1881,1893,0,101,4092,Brewer,Shawn Moody,46.260997067448685
280,Chev,Silverado,93,2098,0.04432793136320305,63,347,603,0,20,1033,Dayton,Shawn Moody,58.373668925459825
281,Ford,F150,108,2830,0.0381625441696113,100,530,859,1,23,1513,Bowdoin,Shawn Moody,56.77461996034369
282,Gmc,Sierra,54,761,0.0709592641261498,31,59,251,0,13,354,Linneus,Shawn Moody,70.90395480225989
283,Gmc,Sierra,8,114,0.07017543859649122,2,24,41,0,1,68,Edinburg,Shawn Moody,60.29411764705882
284,Chev,Silverado,42,584,0.07191780821917809,21,97,119,1,7,245,Lagrange,Shawn Moody,48.571428571428584
285,Chev,Silverado,88,2214,0.039747064137308045,65,557,574,0,19,1215,Whitefield,Shawn Moody,47.24279835390946
286,Yama,Golf,164,505,0.32475247524752476,4,29,30,0,0,63,Frye Island,Shawn Moody,47.61904761904762
287,Chev,Silverado,86,2481,0.03466344216041919,58,658,707,0,20,1443,Manchester,Shawn Moody,48.995148995148995
288,Toyo,Tundra,15,310,0.04838709677419354,8,92,80,0,2,182,Dallas Plt,Janet Mills,50.54945054945056
289,Chev,Silverado,9,126,0.07142857142857142,7,21,35,0,1,64,Milton Twp,Shawn Moody,54.6875
290,Gmc,Sierra,46,1026,0.04483430799220272,35,423,249,0,15,722,Penobscot,Janet Mills,58.587257617728525
291,Chev,Silverado,242,6721,0.03600654664484452,167,1655,1687,0,163,3672,Hampden,Shawn Moody,45.94226579520697
292,Chev,Silverado,31,399,0.07769423558897244,14,49,106,0,6,175,Columbia,Shawn Moody,60.571428571428555
293,Toyo,Camry,458,14793,0.03096058946799161,440,4018,3098,0,156,7712,Augusta,Janet Mills,52.100622406639005
294,Chev,Silverado,76,1426,0.05329593267882188,48,193,456,1,12,710,Wales,Shawn Moody,64.22535211267605
295,Gmc,Sierra,22,248,0.08870967741935484,5,59,57,0,7,128,Allagash,Janet Mills,46.09375
296,Gmc,Sierra,82,1384,0.05924855491329479,43,225,368,0,17,653,Enfield,Shawn Moody,56.355283307810105
297,Gmc,Sierra,38,449,0.08463251670378619,19,161,131,0,8,319,Whiting,Janet Mills,50.470219435736674
298,Chev,Silverado,82,1774,0.046223224351747465,57,251,538,0,27,873,Palmyra,Shawn Moody,61.62657502863688
299,Niss,Versa,155,4951,0.03130680670571601,176,1362,1036,0,71,2645,Gardiner,Janet Mills,51.49338374291116
300,Ford,F150,12,126,0.09523809523809525,5,9,55,0,3,72,Carroll Plt,Shawn Moody,76.38888888888889
301,Chev,Silverado,27,512,0.052734375,11,117,151,0,4,283,Winter Harbor,Shawn Moody,53.35689045936397
302,Chev,Silverado,54,1300,0.04153846153846154,28,391,314,22,0,755,Appleton,Janet Mills,51.78807947019868
303,Ford,F150,147,3341,0.04399880275366656,116,963,610,0,71,1760,Madawaska,Janet Mills,54.715909090909086
304,Gmc,Sierra,100,3941,0.02537427048972342,98,1261,871,0,47,2277,Kennebunkport,Janet Mills,55.37988581466841
305,Chev,Silverado,58,1477,0.03926878808395396,58,384,375,1,15,833,Randolph,Janet Mills,46.098439375750296
306,Ford,F150,44,988,0.04453441295546559,18,238,257,0,7,520,Smithfield,Shawn Moody,49.42307692307692
307,Gmc,Sierra,12,150,0.08,2,27,60,0,3,92,Bowerbank,Shawn Moody,65.2173913043478
308,Gmc,Sierra,34,514,0.06614785992217898,34,103,129,0,14,280,New Sweden,Shawn Moody,46.07142857142856
309,Gmc,Sierra,53,711,0.07454289732770746,20,76,205,0,12,313,Monticello,Shawn Moody,65.49520766773162
310,Ford,F150,11,120,0.09166666666666665,1,22,53,0,0,76,Willimantic,Shawn Moody,69.73684210526315
311,Chev,Silverado,61,1093,0.055809698078682524,32,200,229,0,20,481,Brownville,Shawn Moody,47.6091476091476
312,Ford,F150,70,1351,0.051813471502590684,31,255,331,0,10,627,Rangeley,Shawn Moody,52.79106858054226
313,Chev,Silverado,5,30,0.16666666666666663,2,8,13,0,0,23,Kingsbury Plt,Shawn Moody,56.521739130434774
314,Gmc,Sierra,44,757,0.058124174372523124,28,133,210,0,14,385,Parkman,Shawn Moody,54.545454545454554
315,Gmc,Sierra,36,696,0.05172413793103447,16,133,215,0,7,371,Alton,Shawn Moody,57.95148247978436
316,Chev,Silverado,230,5574,0.04126300681736633,179,1495,1276,0,56,3006,Winthrop,Janet Mills,49.73386560212908
317,Chev,Silverado,27,414,0.06521739130434781,5,104,132,0,3,244,Marshfield,Shawn Moody,54.09836065573768
318,Ford,F150,43,863,0.04982618771726534,28,233,247,0,16,524,Phillips,Shawn Moody,47.137404580152676
319,Ford,F150,24,265,0.09056603773584905,17,53,119,0,16,205,Atkinson,Shawn Moody,58.048780487804876
320,Chev,Silverado,196,4405,0.04449489216799093,110,812,1311,0,45,2278,Hollis,Shawn Moody,57.550482879719056
321,Chev,Silverado,140,3529,0.03967129498441485,118,698,893,0,38,1747,Casco,Shawn Moody,51.11619919862621
322,Ford,F150,52,1103,0.04714415231187669,22,182,370,0,11,585,Stetson,Shawn Moody,63.24786324786324
323,Ford,F150,71,1102,0.06442831215970961,50,184,337,0,10,581,Easton,Shawn Moody,58.00344234079173
324,Gmc,Sierra,37,633,0.0584518167456556,21,106,179,0,6,312,Abbot,Shawn Moody,57.37179487179488
325,Gmc,Sierra,74,1294,0.0571870170015456,60,217,308,0,15,600,Washburn,Shawn Moody,51.33333333333332
326,Gmc,Sierra,317,6914,0.04584900202487706,297,1250,1656,0,168,3371,Presque Isle,Shawn Moody,49.12488875704537
327,Ford,F150,7,62,0.11290322580645157,4,23,22,0,0,49,Westmanland,Janet Mills,46.93877551020409
328,Gmc,Sierra,35,421,0.0831353919239905,15,72,110,0,11,208,Westfield,Shawn Moody,52.88461538461536
329,Chev,Silverado,18,203,0.08866995073891623,5,41,38,0,2,86,Baring Plt,Janet Mills,47.67441860465115
330,Chev,Silverado,15,185,0.0810810810810811,7,38,56,0,4,105,Winterville Plt,Shawn Moody,53.33333333333332
331,Chev,Silverado,94,2410,0.03900414937759335,94,523,607,0,36,1260,Harrison,Shawn Moody,48.17460317460318
332,Gmc,Sierra,20,216,0.0925925925925926,9,30,50,0,4,93,Masardis,Shawn Moody,53.76344086021505
333,Gmc,Sierra,71,1546,0.04592496765847349,56,366,507,0,27,956,Greenville,Shawn Moody,53.03347280334727
334,Gmc,Sierra,79,2421,0.032631144155307726,70,626,532,0,38,1266,Searsport,Janet Mills,49.44707740916273
335,Chev,Silverado,66,965,0.06839378238341969,22,173,176,0,10,381,Pembroke,Shawn Moody,46.19422572178477
336,Suba,Forester,146,3116,0.04685494223363286,116,758,856,0,40,1770,Woolwich,Shawn Moody,48.361581920903944
337,Gmc,Sierra,72,1150,0.06260869565217392,47,191,283,0,17,538,Woodland,Shawn Moody,52.60223048327136
338,Toyo,Tacoma,4,46,0.08695652173913043,0,12,27,0,1,40,Osborn,Shawn Moody,67.5
339,Ford,F150,59,1278,0.046165884194053215,69,247,318,0,14,648,Woodstock,Shawn Moody,49.07407407407408
340,Chev,Silverado,97,2589,0.03746620316724605,130,450,670,1,27,1278,Mechanic Falls,Shawn Moody,52.42566510172145
341,Chev,Silverado,38,615,0.061788617886178863,16,96,175,0,11,298,Oakfield,Shawn Moody,58.72483221476511
342,Chev,Silverado,70,1759,0.03979533826037521,68,297,569,0,18,952,Albion,Shawn Moody,59.768907563025216
343,Suba,Outback,129,3546,0.03637901861252116,103,1363,937,0,37,2440,North Yarmouth,Janet Mills,55.860655737704924
344,Chev,Silverado,100,2369,0.042211903756859445,64,622,593,1,30,1310,Phippsburg,Janet Mills,47.48091603053435
345,Chev,Silverado,117,3033,0.03857566765578635,114,787,605,0,27,1533,Fryeburg,Janet Mills,51.33724722765816
346,Toyo,Camry,253,8393,0.030144167758846655,285,2603,1769,1,100,4758,Old Orchard Beach,Janet Mills,54.70786044556535
347,Chev,Silverado,50,843,0.05931198102016608,24,135,221,0,13,393,Patten,Shawn Moody,56.23409669211197
348,Ford,F150,48,952,0.050420168067226885,22,221,216,0,26,485,Frenchville,Janet Mills,45.567010309278345
349,Chev,Silverado,94,2418,0.03887510339123242,75,681,505,1,33,1295,Thomaston,Janet Mills,52.586872586872595
350,Gmc,Sierra,70,1404,0.049857549857549845,39,363,368,0,27,797,East Millinocket,Shawn Moody,46.17314930991217
351,Suba,Forester,71,1877,0.03782631859350027,44,593,328,0,24,989,Southwest Harbor,Janet Mills,59.95955510616786
352,Gmc,Sierra,8,77,0.10389610389610389,1,13,12,0,1,27,Molunkus Twp,Janet Mills,48.148148148148145
353,Gmc,Sierra,19,251,0.07569721115537849,11,45,58,0,2,116,New Canada,Shawn Moody,50.0
354,Gmc,Sierra,68,1205,0.05643153526970954,33,189,339,0,11,572,Kenduskeag,Shawn Moody,59.26573426573426
355,Chev,Silverado,186,6540,0.02844036697247707,189,1873,1237,1,91,3391,South Berwick,Janet Mills,55.23444411677973
356,Chev,Silverado,5,36,0.13888888888888887,0,14,16,0,0,30,Seboeis Plt,Shawn Moody,53.33333333333332
357,Chev,Silverado,29,523,0.055449330783938815,19,106,144,0,11,280,Somerville,Shawn Moody,51.428571428571445
358,Chev,Silverado,206,5345,0.03854069223573432,211,891,1526,0,45,2673,Turner,Shawn Moody,57.089412644968206
359,Suba,Forester,24,476,0.050420168067226885,13,225,85,0,9,332,Arrowsic,Janet Mills,67.77108433734941
360,Chev,Silverado,28,643,0.04354587869362364,17,155,192,1,4,369,Mercer,Shawn Moody,52.03252032520324
361,Gmc,Sierra,55,1042,0.052783109404990404,33,160,325,0,18,536,Bradford,Shawn Moody,60.63432835820896
362,Chev,Silverado,158,4154,0.038035628310062596,125,894,1007,0,45,2071,Arundel,Shawn Moody,48.62385321100916
363,Toyo,Tacoma,15,167,0.0898203592814371,7,28,46,0,2,83,Grand Lake Stream Plt,Shawn Moody,55.42168674698795
364,Ford,Ranger,3,45,0.06666666666666665,2,19,14,0,2,37,Wyman Twp,Janet Mills,51.351351351351376
365,Gmc,Sierra,21,261,0.08045977011494256,7,89,51,0,7,154,Roque Bluffs,Janet Mills,57.7922077922078
366,Ford,F150,19,251,0.07569721115537849,10,35,60,0,3,108,Medford,Shawn Moody,55.55555555555555
367,Chev,Silverado,204,4048,0.050395256916996055,151,620,1249,0,28,2048,Greene,Shawn Moody,60.986328125
368,Gmc,Sierra,22,381,0.05774278215223096,16,97,68,0,15,196,Grand Isle,Janet Mills,49.48979591836736
369,Chev,Silverado,63,1097,0.05742935278030994,27,268,338,1,17,651,Friendship,Shawn Moody,51.92012288786483
370,Ford,F150,48,1084,0.04428044280442804,37,323,202,0,13,575,South Bristol,Janet Mills,56.17391304347827
371,Ford,F150,59,1206,0.04892205638474295,26,204,323,0,11,564,Sangerville,Shawn Moody,57.2695035460993
372,Gmc,Sierra,36,752,0.04787234042553192,37,164,230,0,12,443,Andover,Shawn Moody,51.918735891647856
373,Ford,F150,24,505,0.047524752475247525,17,69,109,0,3,198,Avon,Shawn Moody,55.050505050505045
374,Chev,Silverado,60,808,0.07425742574257427,17,210,179,0,12,418,Machiasport,Janet Mills,50.239234449760765
375,Gmc,Sierra,232,4175,0.05556886227544909,121,806,1097,0,44,2068,Glenburn,Shawn Moody,53.04642166344295
376,Gmc,Sierra,13,198,0.06565656565656565,2,28,62,0,3,95,Amity,Shawn Moody,65.26315789473685
377,Gmc,Sierra,97,2010,0.048258706467661686,79,399,630,0,26,1134,Eddington,Shawn Moody,55.55555555555555
378,Chev,Silverado,18,146,0.12328767123287672,6,29,55,0,0,90,Meddybemps,Shawn Moody,61.111111111111114
379,Chev,Silverado,180,4154,0.04333172845450169,116,864,1041,0,37,2058,China,Shawn Moody,50.58309037900874
380,Chev,Silverado,152,3562,0.042672655811341935,117,725,880,0,69,1791,Dover-Foxcroft,Shawn Moody,49.13456169737577
381,Gmc,Sierra,73,1538,0.04746423927178154,50,364,339,0,23,776,Trenton,Janet Mills,46.907216494845365
382,Ford,F150,6,69,0.08695652173913043,4,10,36,0,0,50,Haynesville,Shawn Moody,72.0
383,Chev,Silverado,6,48,0.125,1,6,8,0,0,15,Magalloway Plt,Shawn Moody,53.33333333333332
384,Gmc,Sierra,148,2639,0.056081849185297454,66,430,784,0,25,1305,Carmel,Shawn Moody,60.07662835249042
385,Chev,Silverado,75,1530,0.04901960784313725,39,497,361,0,11,908,Surry,Janet Mills,54.73568281938325
386,Suba,Forester,98,1959,0.050025523226135765,64,749,373,0,34,1220,Damariscotta,Janet Mills,61.39344262295081
387,Chev,Silverado,49,958,0.05114822546972861,35,209,214,0,16,474,Belmont,Shawn Moody,45.14767932489451
388,Ford,F150,137,4954,0.027654420670165516,186,1157,1224,0,58,2625,Bridgton,Shawn Moody,46.62857142857143
389,Chev,Silverado,110,2574,0.04273504273504273,86,445,831,0,17,1379,Minot,Shawn Moody,60.26105873821609
390,Ford,F150,47,543,0.0865561694290976,8,57,161,0,10,236,Chester,Shawn Moody,68.22033898305085
391,Chev,Silverado,65,782,0.08312020460358056,25,177,193,0,9,404,Perry,Shawn Moody,47.77227722772276
392,Suba,Outback,195,4818,0.04047322540473226,108,2339,746,2,115,3310,Camden,Janet Mills,70.66465256797584
393,Suba,Outback,347,10867,0.03193153584245882,307,4413,2791,0,120,7631,Falmouth,Janet Mills,57.82990433757043
394,Chev,Silverado,18,551,0.03266787658802177,13,192,150,0,14,369,Vienna,Janet Mills,52.03252032520324
395,Gmc,Sierra,17,138,0.12318840579710147,3,31,40,0,0,74,Lake View Plt,Shawn Moody,54.05405405405406
396,Gmc,Sierra,9,136,0.06617647058823528,7,27,50,0,1,85,Byron,Shawn Moody,58.823529411764724
397,Toyo,Camry,639,23178,0.02756924669945638,726,7116,4464,2,350,12658,Bangor,Janet Mills,56.21741191341444
398,Toyo,Corolla,435,15607,0.02787210866918691,470,4941,3015,0,186,8612,Westbrook,Janet Mills,57.37343241987923
399,Chev,Silverado,71,1359,0.052244297277409854,44,273,327,0,15,659,Franklin,Shawn Moody,49.62063732928681
400,Chev,Silverado,81,1632,0.04963235294117647,46,451,319,0,23,839,Tremont,Janet Mills,53.75446960667461
401,Chev,Silverado,118,2447,0.04822231303637107,74,500,678,0,13,1265,Benton,Shawn Moody,53.59683794466403
402,Ford,F150,37,426,0.08685446009389672,14,83,108,0,10,215,Swans Island,Shawn Moody,50.23255813953486
403,Ford,F150,42,1162,0.036144578313253004,87,207,318,0,20,632,Hebron,Shawn Moody,50.316455696202524
404,Suba,Outback,33,711,0.046413502109704644,14,296,141,0,10,461,Castine,Janet Mills,64.20824295010846
405,Ford,F150,47,893,0.052631578947368425,110,134,203,0,4,451,Sumner,Shawn Moody,45.011086474501106
406,Suba,Forester,56,1628,0.0343980343980344,46,530,358,0,17,951,Hope,Janet Mills,55.730809674027334
407,Chev,Silverado,162,3846,0.04212168486739469,113,926,1141,0,79,2259,Durham,Shawn Moody,50.50907481186366
408,Chev,Silverado,63,1071,0.058823529411764726,26,221,298,0,7,552,Addison,Shawn Moody,53.98550724637681
409,Toyo,Rav4,269,8410,0.031985731272294884,364,2860,1881,1,124,5230,Topsham,Janet Mills,54.68451242829827
410,Chev,Silverado,40,850,0.04705882352941178,29,180,183,0,14,406,Greenwood,Shawn Moody,45.07389162561576
411,Chev,Silverado,29,356,0.08146067415730338,17,55,114,0,6,192,Castle Hill,Shawn Moody,59.375
412,Chev,Silverado,60,1150,0.05217391304347826,14,191,274,0,16,495,Steuben,Shawn Moody,55.35353535353534
413,Ford,F150,17,259,0.06563706563706563,3,50,85,0,1,139,Rangeley Plt,Shawn Moody,61.15107913669065
414,Ford,F150,13,158,0.08227848101265822,10,39,32,0,3,84,Coplin Plt,Janet Mills,46.42857142857143
415,Chev,Silverado,133,3553,0.03743315508021391,126,796,904,0,58,1884,Wiscasset,Shawn Moody,47.983014861995734
416,Chev,Silverado,143,3220,0.044409937888198754,97,635,823,0,38,1593,Pittsfield,Shawn Moody,51.663527934714374
417,Ford,F150,195,4260,0.04577464788732393,130,1032,949,1,36,2148,Jay,Janet Mills,48.04469273743017
418,Gmc,Sierra,15,180,0.08333333333333331,7,17,75,0,1,100,Topsfield,Shawn Moody,75.0
419,Gmc,Sierra,87,1281,0.06791569086651054,71,218,339,0,25,653,Limestone,Shawn Moody,51.914241960183766
420,Chev,Silverado,229,4568,0.05013134851138355,134,1030,1108,0,41,2313,Waldoboro,Shawn Moody,47.90315607436231
421,Chev,Silverado,51,809,0.06304079110012362,17,154,205,0,9,385,Athens,Shawn Moody,53.246753246753244
422,Suba,Outback,270,7596,0.03554502369668247,233,3289,1525,0,152,5199,Freeport,Janet Mills,63.2621658011156
423,Chev,Silverado,178,4543,0.03918115782522562,137,876,1117,0,42,2172,Lyman,Shawn Moody,51.427255985267024
424,Chev,Silverado,14,204,0.06862745098039215,8,40,60,0,2,110,Dyer Brook,Shawn Moody,54.545454545454554
425,Gmc,Sierra,11,148,0.07432432432432433,9,39,40,0,3,91,Whitneyville,Shawn Moody,43.956043956043956
426,Gmc,Sierra,12,122,0.09836065573770493,4,33,54,0,0,91,Cooper,Shawn Moody,59.34065934065934
427,Chev,Silverado,4,28,0.14285714285714285,3,6,15,0,0,24,Frenchboro,Shawn Moody,62.5
428,Suba,Forester,67,1948,0.03439425051334701,69,552,492,0,31,1144,West Bath,Janet Mills,48.251748251748246
429,Chev,Silverado,63,1037,0.06075216972034715,18,225,231,0,15,489,Solon,Shawn Moody,47.23926380368097
430,Chev,Silverado,71,1253,0.05666400638467677,44,278,361,0,17,700,Swanville,Shawn Moody,51.57142857142857
431,Chev,Silverado,239,5355,0.0446311858076564,150,1178,1238,0,67,2633,Fairfield,Shawn Moody,47.01860995062665
432,Chev,Silverado,74,1175,0.06297872340425531,33,274,248,0,15,570,Sullivan,Janet Mills,48.07017543859647
433,Ford,F150,5,56,0.08928571428571426,3,20,20,0,1,44,West Forks Plt,Tie,0.0
434,Ford,F150,149,4945,0.030131445904954493,57,2019,1137,1,152,3366,Farmington,Janet Mills,59.98217468805702
435,Ford,F150,288,11582,0.02486617164565705,334,2969,2546,0,110,5959,Wells,Janet Mills,49.82379593891593
436,Ford,F150,101,1509,0.06693174287607688,41,432,200,0,31,704,Vinalhaven,Janet Mills,61.36363636363635
437,Gmc,Sierra,34,598,0.0568561872909699,25,133,208,0,5,371,Monson,Shawn Moody,56.06469002695417
438,Chev,Silverado,64,1356,0.0471976401179941,51,370,320,0,12,753,Searsmont,Janet Mills,49.13678618857901
439,Chev,Silverado,11,85,0.12941176470588234,3,17,21,0,1,42,Pleasant Ridge Plt,Shawn Moody,50.0
440,Toyo,Camry,67,2507,0.026725169525329082,98,676,630,0,26,1430,Farmingdale,Janet Mills,47.27272727272726
441,Gmc,Sierra,125,1742,0.07175660160734788,67,273,575,0,25,940,Mapleton,Shawn Moody,61.17021276595745
442,Chev,Silverado,18,262,0.06870229007633588,6,35,101,0,9,151,Stacyville,Shawn Moody,66.88741721854305
443,Chev,Silverado,15,199,0.07537688442211055,6,18,74,0,0,98,Woodville,Shawn Moody,75.51020408163265
444,Gmc,Sierra,60,1074,0.0558659217877095,24,176,323,0,16,539,Etna,Shawn Moody,59.92578849721706
445,Chev,Silverado,72,1622,0.04438964241676943,56,410,472,0,21,959,Dedham,Shawn Moody,49.21793534932222
446,Suba,Forester,53,1499,0.03535690460306872,61,437,418,0,14,930,Mount Vernon,Janet Mills,46.98924731182796
447,Chev,Silverado,261,5892,0.04429735234215885,130,1020,1684,0,56,2890,Hermon,Shawn Moody,58.26989619377162
448,Chev,Silverado,20,455,0.04395604395604396,30,102,112,0,8,252,Albany Twp,Shawn Moody,44.44444444444444
449,Gmc,Sierra,45,930,0.04838709677419354,36,393,242,1,9,681,Sedgwick,Janet Mills,57.70925110132158
450,Chev,Silverado,197,5257,0.0374738443979456,165,1251,1464,0,51,2931,New Gloucester,Shawn Moody,49.948822927328564
451,Chev,Silverado,169,4023,0.04200845140442456,138,831,1102,0,23,2094,Vassalboro,Shawn Moody,52.62655205348616
452,Chev,Silverado,558,15762,0.035401598781880476,467,3662,4178,2,168,8477,Windham,Shawn Moody,49.286304117022524
453,Chev,Silverado,74,1328,0.05572289156626506,43,383,288,0,30,744,Machias,Janet Mills,51.478494623655926
454,Gmc,Sierra,216,5441,0.03969858481896711,182,1733,1187,1,98,3201,Old Town,Janet Mills,54.1393314589191
455,Chev,Silverado,34,953,0.035676810073452254,42,206,205,0,16,469,Liberty,Janet Mills,43.923240938166316
456,Chev,Silverado,13,158,0.08227848101265822,12,40,50,0,4,106,Gilead,Shawn Moody,47.16981132075472
457,Chev,Silverado,94,2911,0.032291308828581236,94,870,679,1,34,1678,Bowdoinham,Janet Mills,51.84743742550656
458,Chev,Silverado,21,472,0.0444915254237288,20,119,134,0,8,281,Verona Island,Shawn Moody,47.686832740213525
459,Chev,Silverado,147,4632,0.03173575129533679,137,981,1147,0,65,2330,North Berwick,Shawn Moody,49.22746781115879
460,Chev,Silverado,178,4693,0.03792883017259749,146,728,1198,0,71,2143,Sabattus,Shawn Moody,55.902939804013066
461,Chev,Silverado,172,4558,0.03773584905660377,214,991,995,1,46,2247,Rumford,Shawn Moody,44.28126390743213
462,Chev,Silverado,92,3010,0.03056478405315615,109,695,796,0,43,1643,Richmond,Shawn Moody,48.4479610468655
463,Ford,F150,17,323,0.052631578947368425,9,45,140,0,2,196,Lowell,Shawn Moody,71.42857142857143
464,Ford,F150,5,68,0.07352941176470591,2,16,18,0,2,38,The Forks Plt,Shawn Moody,47.36842105263157
465,Chev,Silverado,157,5392,0.02911721068249258,147,1895,943,1,74,3060,Rockland,Janet Mills,61.9281045751634
466,Toyo,Tacoma,35,1025,0.03414634146341464,32,263,234,0,6,535,Rome,Janet Mills,49.15887850467288
467,Ford,F150,24,402,0.05970149253731344,15,129,83,0,16,243,Wallagrass,Janet Mills,53.08641975308641
468,Suba,Outback,292,7266,0.04018717313515001,205,2967,1909,2,96,5179,Cumberland,Janet Mills,57.28905194052906
469,Chev,Silverado,262,7050,0.03716312056737588,185,1294,1516,0,110,3105,Berwick,Shawn Moody,48.824476650563604
