Date,Utility,Subutility,Rate
7/1/13,Versant Power,BHE,0.06695
6/1/13,Versant Power,BHE,0.06695
5/1/13,Versant Power,BHE,0.06695
4/1/13,Versant Power,BHE,0.06695
3/1/13,Versant Power,BHE,0.06695
2/1/13,Versant Power,BHE,0.071389
1/1/13,Versant Power,BHE,0.071389
12/1/12,Versant Power,BHE,0.071389
11/1/12,Versant Power,BHE,0.071389
10/1/12,Versant Power,BHE,0.071389
9/1/12,Versant Power,BHE,0.071389
8/1/12,Versant Power,BHE,0.071389
7/1/12,Versant Power,BHE,0.071389
6/1/12,Versant Power,BHE,0.071389
5/1/12,Versant Power,BHE,0.071389
4/1/12,Versant Power,BHE,0.071389
3/1/12,Versant Power,BHE,0.071389
2/1/12,Versant Power,BHE,0.082517
1/1/12,Versant Power,BHE,0.082517
12/1/19,Versant Power,MPS,0.08461
11/1/19,Versant Power,MPS,0.08461
10/1/19,Versant Power,MPS,0.08461
9/1/19,Versant Power,MPS,0.08461
8/1/19,Versant Power,MPS,0.08461
7/1/19,Versant Power,MPS,0.08461
6/1/19,Versant Power,MPS,0.08461
5/1/19,Versant Power,MPS,0.08461
4/1/19,Versant Power,MPS,0.08461
3/1/19,Versant Power,MPS,0.08461
2/1/19,Versant Power,MPS,0.08461
1/1/19,Versant Power,MPS,0.08461
12/1/18,Versant Power,MPS,0.07423
11/1/18,Versant Power,MPS,0.07423
10/1/18,Versant Power,MPS,0.07423
9/1/18,Versant Power,MPS,0.07423
8/1/18,Versant Power,MPS,0.07423
7/1/18,Versant Power,MPS,0.07423
6/1/18,Versant Power,MPS,0.07423
5/1/18,Versant Power,MPS,0.07423
4/1/18,Versant Power,MPS,0.07423
3/1/18,Versant Power,MPS,0.07423
2/1/18,Versant Power,MPS,0.07423
1/1/18,Versant Power,MPS,0.07423
12/1/17,Versant Power,MPS,0.07049
11/1/17,Versant Power,MPS,0.07049
10/1/17,Versant Power,MPS,0.07049
9/1/17,Versant Power,MPS,0.07049
8/1/17,Versant Power,MPS,0.07049
7/1/17,Versant Power,MPS,0.07049
6/1/17,Versant Power,MPS,0.07049
5/1/17,Versant Power,MPS,0.07092
4/1/17,Versant Power,MPS,0.07092
3/1/17,Versant Power,MPS,0.07092
2/1/17,Versant Power,MPS,0.07092
1/1/17,Versant Power,MPS,0.07092
12/1/16,Versant Power,MPS,0.07092
11/1/16,Versant Power,MPS,0.07092
10/1/16,Versant Power,MPS,0.08493
9/1/16,Versant Power,MPS,0.08493
8/1/16,Versant Power,MPS,0.08493
7/1/16,Versant Power,MPS,0.08493
6/1/16,Versant Power,MPS,0.08493
5/1/16,Versant Power,MPS,0.08493
4/1/16,Versant Power,MPS,0.08493
3/1/16,Versant Power,MPS,0.08493
2/1/16,Versant Power,MPS,0.08493
1/1/16,Versant Power,MPS,0.08493
12/1/15,Versant Power,MPS,0.08493
11/1/15,Versant Power,MPS,0.08493
10/1/15,Versant Power,MPS,0.08493
9/1/15,Versant Power,MPS,0.08493
8/1/15,Versant Power,MPS,0.08493
7/1/15,Versant Power,MPS,0.08493
6/1/15,Versant Power,MPS,0.08493
5/1/15,Versant Power,MPS,0.08493
4/1/15,Versant Power,MPS,0.08493
3/1/15,Versant Power,MPS,0.08493
2/1/15,Versant Power,MPS,0.08493
1/1/15,Versant Power,MPS,0.08493
12/1/14,Versant Power,MPS,0.08493
11/1/14,Versant Power,MPS,0.08493
10/1/14,Versant Power,MPS,0.08493
9/1/14,Versant Power,MPS,0.08493
8/1/14,Versant Power,MPS,0.08493
7/1/14,Versant Power,MPS,0.08493
6/1/14,Versant Power,MPS,0.08493
5/1/14,Versant Power,MPS,0.08493
4/1/14,Versant Power,MPS,0.08493
3/1/14,Versant Power,MPS,0.08493
2/1/14,Versant Power,MPS,0.073
1/1/14,Versant Power,MPS,0.073
12/1/13,Versant Power,MPS,0.073
11/1/13,Versant Power,MPS,0.073
10/1/13,Versant Power,MPS,0.073
9/1/13,Versant Power,MPS,0.073
8/1/13,Versant Power,MPS,0.073
7/1/13,Versant Power,MPS,0.073
6/1/13,Versant Power,MPS,0.073
5/1/13,Versant Power,MPS,0.073
4/1/13,Versant Power,MPS,0.073
3/1/13,Versant Power,MPS,0.073
2/1/13,Versant Power,MPS,0.073
1/1/13,Versant Power,MPS,0.073
12/1/12,Versant Power,MPS,0.073
11/1/12,Versant Power,MPS,0.073
10/1/12,Versant Power,MPS,0.073
9/1/12,Versant Power,MPS,0.073
8/1/12,Versant Power,MPS,0.073
7/1/12,Versant Power,MPS,0.073
6/1/12,Versant Power,MPS,0.073
5/1/12,Versant Power,MPS,0.073
4/1/12,Versant Power,MPS,0.073
3/1/12,Versant Power,MPS,0.073
2/1/12,Versant Power,MPS,0.073
1/1/12,Versant Power,MPS,0.073
1/1/20,CMP,,0.073037
2/1/20,CMP,,0.073037
3/1/20,CMP,,0.073037
4/1/20,CMP,,0.073037
5/1/20,CMP,,0.073037
6/1/20,CMP,,0.073037
7/1/20,CMP,,0.073037
8/1/20,CMP,,0.073037
9/1/20,CMP,,0.073037
10/1/20,CMP,,0.073037
11/1/20,CMP,,0.073037
12/1/20,CMP,,0.073037
1/1/21,CMP,,0.064494
2/1/21,CMP,,0.064494
3/1/21,CMP,,0.064494
4/1/21,CMP,,0.064494
5/1/21,CMP,,0.064494
6/1/21,CMP,,0.064494
7/1/21,CMP,,0.064494
8/1/21,CMP,,0.064494
9/1/21,CMP,,0.064494
10/1/21,CMP,,0.064494
11/1/21,CMP,,0.064494
12/1/21,CMP,,0.064494
1/1/20,Versant Power,BHE,0.068785
2/1/20,Versant Power,BHE,0.068785
3/1/20,Versant Power,BHE,0.068785
4/1/20,Versant Power,BHE,0.068785
5/1/20,Versant Power,BHE,0.068785
6/1/20,Versant Power,BHE,0.068785
7/1/20,Versant Power,BHE,0.068785
8/1/20,Versant Power,BHE,0.068785
9/1/20,Versant Power,BHE,0.068785
10/1/20,Versant Power,BHE,0.068785
11/1/20,Versant Power,BHE,0.068785
12/1/20,Versant Power,BHE,0.068785
1/1/21,Versant Power,BHE,0.06196
2/1/21,Versant Power,BHE,0.06196
3/1/21,Versant Power,BHE,0.06196
4/1/21,Versant Power,BHE,0.06196
5/1/21,Versant Power,BHE,0.06196
6/1/21,Versant Power,BHE,0.06196
7/1/21,Versant Power,BHE,0.06196
8/1/21,Versant Power,BHE,0.06196
9/1/21,Versant Power,BHE,0.06196
10/1/21,Versant Power,BHE,0.06196
11/1/21,Versant Power,BHE,0.06196
12/1/21,Versant Power,BHE,0.06196
1/1/20,Versant Power,MPS,0.067294
2/1/20,Versant Power,MPS,0.067294
3/1/20,Versant Power,MPS,0.067294
4/1/20,Versant Power,MPS,0.067294
5/1/20,Versant Power,MPS,0.067294
6/1/20,Versant Power,MPS,0.067294
7/1/20,Versant Power,MPS,0.067294
8/1/20,Versant Power,MPS,0.067294
9/1/20,Versant Power,MPS,0.067294
10/1/20,Versant Power,MPS,0.067294
11/1/20,Versant Power,MPS,0.067294
12/1/20,Versant Power,MPS,0.067294
1/1/21,Versant Power,MPS,0.060267
2/1/21,Versant Power,MPS,0.060267
3/1/21,Versant Power,MPS,0.060267
4/1/21,Versant Power,MPS,0.060267
5/1/21,Versant Power,MPS,0.060267
6/1/21,Versant Power,MPS,0.060267
7/1/21,Versant Power,MPS,0.060267
8/1/21,Versant Power,MPS,0.060267
9/1/21,Versant Power,MPS,0.060267
10/1/21,Versant Power,MPS,0.060267
11/1/21,Versant Power,MPS,0.060267
12/1/21,Versant Power,MPS,0.060267
1/1/22,Versant Power,MPS,0.110873
2/1/22,Versant Power,MPS,0.110873
3/1/22,Versant Power,MPS,0.110873
4/1/22,Versant Power,MPS,0.110873
5/1/22,Versant Power,MPS,0.110873
6/1/22,Versant Power,MPS,0.110873
7/1/22,Versant Power,MPS,0.110873
8/1/22,Versant Power,MPS,0.110873
9/1/22,Versant Power,MPS,0.110873
10/1/22,Versant Power,MPS,0.110873
11/1/22,Versant Power,MPS,0.110873
12/1/22,Versant Power,MPS,0.110873
1/1/22,Versant Power,BHE,0.11684
2/1/22,Versant Power,BHE,0.11684
3/1/22,Versant Power,BHE,0.11684
4/1/22,Versant Power,BHE,0.11684
5/1/22,Versant Power,BHE,0.11684
6/1/22,Versant Power,BHE,0.11684
7/1/22,Versant Power,BHE,0.11684
8/1/22,Versant Power,BHE,0.11684
9/1/22,Versant Power,BHE,0.11684
10/1/22,Versant Power,BHE,0.11684
11/1/22,Versant Power,BHE,0.11684
12/1/22,Versant Power,BHE,0.11684
1/1/22,CMP,,0.118161
2/1/22,CMP,,0.118161
3/1/22,CMP,,0.118161
4/1/22,CMP,,0.118161
5/1/22,CMP,,0.118161
6/1/22,CMP,,0.118161
7/1/22,CMP,,0.118161
8/1/22,CMP,,0.118161
9/1/22,CMP,,0.118161
10/1/22,CMP,,0.118161
11/1/22,CMP,,0.118161
12/1/22,CMP,,0.118161
