,affiliated_committee_name,candidate_ids,committee_id,committee_type,committee_type_full,cycles,designation,designation_full,filing_frequency,first_file_date,last_f1_date,last_file_date,name,organization_type,organization_type_full,party,party_full,state,treasurer_name,active_through,candidate_id,candidate_inactive,candidate_status,district,district_number,election_districts,election_years,federal_funds_flag,has_raised_funds,inactive_election_years,incumbent_challenge,incumbent_challenge_full,last_f2_date,load_date,office,office_full,principal_committees
56764,,['P80001605'],C00218156,P,Presidential,"[1988, 1990, 1992, 1994]",P,Principal campaign committee,A,1987-10-13,1987-10-13,1994-06-25,CONSERTIVES FOR PACKWOOD FOR PRESIDENT,,,REP,REPUBLICAN PARTY,MO,AUBURN L PACKWOOD,,,,,,,,,,,,,,,,,,
56767,,['P20001020'],C00256271,P,Presidential,"[1992, 1994]",P,Principal campaign committee,T,1991-11-26,1991-11-26,1993-01-20,CONSTITUTIONAL,,,UNK,UNKNOWN,VA,TALMADGE M WARREN,,,,,,,,,,,,,,,,,,
56768,,['P00001768'],C00116335,P,Presidential,"[1980, 1982, 1984, 1986]",A,Authorized by a candidate,T,1979-11-28,1987-05-18,1987-05-18,CONSTITUTIONAL BILL OF RIGHTS COMMITTEE; THE,,,,,OK,ROBERT E COTNER,,,,,,,,,,,,,,,,,,
56769,,['P80001399'],C00217398,P,Presidential,"[1988, 1990, 1992, 1994, 1996]",P,Principal campaign committee,A,1987-09-04,1987-09-04,1996-05-15,CONSTITUTIONAL CANDIDATE FOR PRESIDENCY OF USA (PCC KLEIN),,,,,WI,WILLIAM DONALD KLEIN,,,,,,,,,,,,,,,,,,
56770,,['P60017704'],C00591693,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-11-09,2015-11-09,2018-04-27,CONSTITUTIONAL COMMITTEE,,,UNK,UNKNOWN,VT,ROBERT E ZORN,,,,,,,,,,,,,,,,,,
56771,,['P60016300'],C00588269,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-09-30,2015-09-30,2018-04-26,CONSTITUTIONAL CONSERVATIVE PARTY,,,OTH,OTHER,WV,JOHN HABJAN,,,,,,,,,,,,,,,,,,
56772,,['P80005713'],C00462168,P,Presidential,"[2010, 2012, 2014, 2016]",P,Principal campaign committee,A,2009-05-26,2010-07-23,2015-08-26,CONSTITUTIONIST FKA WE THE PEOPLE FOR THE PEOPLE VOICE OF AMERICA,,,NNE,NONE,VA,BARBARA J CRIVEAU,,,,,,,,,,,,,,,,,,
56773,,['P40001034'],C00172171,P,Presidential,"[1984, 1986]",A,Authorized by a candidate,T,1983-11-04,1983-12-30,1985-09-20,CONSUMERS FOR DENNIS SERRETTE,,,,,NY,DEBORAH A GREEN,,,,,,,,,,,,,,,,,,
56777,,[],C00159376,P,Presidential,"[1982, 1984]",P,Principal campaign committee,T,1982-07-27,1982-07-27,1984-09-14,COPE PRESIDENTIAL CAMPAIGN (GILBERT COPE),,,,,PA,GILBERT COPE,,,,,,,,,,,,,,,,,,
56778,,['P60009123'],C00582577,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-08-03,2015-08-03,2018-04-26,CORNELUIS MATHEWS FOR PRESIDENT 2016,,,REP,REPUBLICAN PARTY,OK,CORNELUIS MATHEWS,,,,,,,,,,,,,,,,,,
