,affiliated_committee_name,candidate_ids,committee_id,committee_type,committee_type_full,cycles,designation,designation_full,filing_frequency,first_file_date,last_f1_date,last_file_date,name,organization_type,organization_type_full,party,party_full,state,treasurer_name,active_through,candidate_id,candidate_inactive,candidate_status,district,district_number,election_districts,election_years,federal_funds_flag,has_raised_funds,inactive_election_years,incumbent_challenge,incumbent_challenge_full,last_f2_date,load_date,office,office_full,principal_committees
175,DAVID PARTY AFFILIATION,[],C00692772,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2018-12-13,2018-12-13,2019-04-29,ADAM PARTY ADMINISTRATOR,,,OTH,OTHER,TX,"HANSEN, JEFFREY",,,,,,,,,,,,,,,,,,
264,,['P60020963'],C00674580,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2018-03-22,2019-04-26,2019-07-31,AJAY SOOD--PRESIDENTIAL CANDIDATE 2020,,,IND,INDEPENDENT,KS,AJAY SOOD,,,,,,,,,,,,,,,,,,
484,,['P60021243'],C00686048,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2018-08-23,2018-08-23,2018-09-09,AMEER FLIPPIN PRESIDENTIAL EXPLORATORY COMMITTEE 2020,,,,,DC,AMEER FLIPPIN,,,,,,,,,,,,,,,,,,
492,AMERICA FIRST,['P00013102'],C00715276,P,Presidential,[2020],P,Principal campaign committee,Q,2019-08-09,2019-08-09,2019-09-05,AMERICA FIRST,,,OTH,OTHER,CA,"HUMPHREY, BRIAN HUMPHREY",,,,,,,,,,,,,,,,,,
655,DAVID WIATR,"['H8NJ01226', 'P00006544']",C00661397,P,Presidential,"[2018, 2020]",U,Unauthorized,Q,2017-11-23,2019-08-23,2019-08-23,AMERICAN GOVERNANCE PARTY,,,W,WRITE-IN,NJ,"WIATR, DAVID",,,,,,,,,,,,,,,,,,
696,IMMORTAL TECHNIQUE,['P00007096'],C00671792,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2018-03-01,2018-03-01,2018-03-08,AMERICAN LIBERTY PARTY; THE,,,OTH,OTHER,TX,KEITH DANIEL LANKFORD,,,,,,,,,,,,,,,,,,
749,,['P40003584'],C00564880,P,Presidential,"[2014, 2016, 2018, 2020]",P,Principal campaign committee,Q,2014-06-17,2018-11-05,2018-11-05,AMERICAN PROGRESSIVE COMMITTEE-ERIC SCOTT CAVANAGH,,,REP,REPUBLICAN PARTY,MD,ERIC CAVANAGH,,,,,,,,,,,,,,,,,,
967,DEMOCRATED PARTY PACS,['P80003916'],C00709600,P,Presidential,[2020],P,Principal campaign committee,Q,2019-06-19,2019-06-19,2019-08-12,ANAMO (AMERICA NEEDS A MAKEOVER),,,DEM,DEMOCRATIC PARTY,GA,MICHEL POWELL,,,,,,,,,,,,,,,,,,
1029,,['P60004983'],C00653527,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2017-08-21,2017-08-21,2017-08-24,ANGELO YOSHANNAH SCRIGNA PRESIDENTIAL CAMPAIGN,,,IND,INDEPENDENT,HI,ANGELO YOSHANNAH SCRIGNA,,,,,,,,,,,,,,,,,,
1068,,['P00007898'],C00682096,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2018-07-03,2018-07-03,2018-07-03,ANTHONY K MOSS JR FOR PRESIDENT,,,IND,INDEPENDENT,FL,ANTHONY K MOSS JR,,,,,,,,,,,,,,,,,,
1378,,[],C00712752,P,Presidential,[2020],,,Q,2019-07-18,2019-07-18,2019-08-22,BARKSDALE FOR PRESIDENT,,,,,FL,JAMES (JIMMY) BARKSDALE,,,,,,,,,,,,,,,,,,
1503,BERNIE VICTORY FUND,['P60007168'],C00577130,P,Presidential,"[2016, 2018, 2020]",P,Principal campaign committee,Q,2015-04-30,2019-07-24,2019-07-24,BERNIE 2016,,,DEM,DEMOCRATIC PARTY,VT,"JACKSON, SUSAN",,,,,,,,,,,,,,,,,,
1516,BETO FOR TEXAS,['P00010793'],C00699090,P,Presidential,[2020],P,Principal campaign committee,Q,2019-03-14,2019-07-15,2019-08-31,BETO FOR AMERICA,,,DEM,DEMOCRATIC PARTY,TX,"PULIDO, GWENDOLYN L",,,,,,,,,,,,,,,,,,
1517,BETO FOR AMERICA,"['H2TX16185', 'P00010793', 'S8TX00285']",C00501197,P,Presidential,"[2012, 2014, 2016, 2018, 2020]",A,Authorized by a candidate,Q,2011-08-26,2019-07-15,2019-08-31,BETO FOR TEXAS,,,DEM,DEMOCRATIC PARTY,TX,"PULIDO, GWENDOLYN L",,,,,,,,,,,,,,,,,,
1571,,[],C00585422,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,,,,BIN LIFTIN FOR PRESIDENT,,,UN,UNAFFILIATED,FL,"BIN LIFTIN, OSAMA",,,,,,,,,,,,,,,,,,
1691,,['P80003114'],C00701029,P,Presidential,[2020],P,Principal campaign committee,Q,2019-04-02,2019-04-02,2019-05-08,BLYTH AMERICA JOHN BLYTH FOR PRESIDENT OF THE UNITED STATES,,,,,IL,JOHN BLYTH,,,,,,,,,,,,,,,,,,
1781,BRAD STEPHENS FOR PRESIDENT,['P00012906'],C00699397,P,Presidential,[2020],P,Principal campaign committee,Q,2019-03-18,2019-03-18,2019-03-18,BRAD STEPHENS FOR PRESIDENT,,,IND,INDEPENDENT,CO,"STEPHENS, BRAD COLLINS",,,,,,,,,,,,,,,,,,
1835,,['P00007526'],C00676981,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2018-04-23,2018-04-23,2018-05-31,BRIAN CURRO'S RUN FOR PRESIDENT,,,IND,INDEPENDENT,FL,LYDIA HOLLAND,,,,,,,,,,,,,,,,,,
1955,,['P40002909'],C00388512,P,Presidential,"[2004, 2006, 2008, 2016, 2020]",A,Authorized by a candidate,Q,2003-07-16,2019-03-25,2019-03-25,BUKEWIHGE FOR PRESIDENT,,,DEM,DEMOCRATIC PARTY,WY,"BUKEWIHGE, EDIE",,,,,,,,,,,,,,,,,,
2128,,['P00006296'],C00654673,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2017-09-05,2017-09-05,2017-09-05,CAMPAIGN TO ELECT NAKIA ANTHONY FOR PRESIDENT,,,DEM,DEMOCRATIC PARTY,OH,JOSELYN ANN BOATWRIGHT,,,,,,,,,,,,,,,,,,
2184,,['P00013110'],C00715490,P,Presidential,[2020],,,Q,2019-08-12,2019-08-12,2019-09-05,CARL ARRECHEA,,,NNE,NONE,CA,CARL W ARRECHEA,,,,,,,,,,,,,,,,,,
2283,,['P60006277'],C00665208,P,Presidential,"[2018, 2020]",P,Principal campaign committee,T,2018-01-08,2019-05-24,2019-06-09,CECIL INCE 2020,,,LIB,LIBERTARIAN PARTY,MO,"INCE, CECIL A",,,,,,,,,,,,,,,,,,
2426,,['P80004120'],C00691113,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2018-11-06,2018-11-06,2018-12-12,CHRISTINA GERASIMOS BILLINGS-ELIAS,,,,,CA,CHRISTINA GERASIMOS BILLINGS-ELIAS,,,,,,,,,,,,,,,,,,
2442,,['P00011890'],C00705418,P,Presidential,[2020],P,Principal campaign committee,Q,2019-05-08,2019-07-30,2019-07-30,CHRISTOPHER LEE JOHNSON FOR PRESIDENT FOR AN INDIVIDUAL AMERICA,,,REP,REPUBLICAN PARTY,SC,"JOHNSON, CHRISTOPHER LEE --SELECT A LEE",,,,,,,,,,,,,,,,,,
2537,,['P00009738'],C00695098,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2018-12-24,2019-02-28,2019-02-28,"CITIZENS FOR LITTLE, THE CENSORED CANDIDATE",,,REP,REPUBLICAN PARTY,CA,PATRICK LITTLE,,,,,,,,,,,,,,,,,,
2562,,['P00012708'],C00711606,P,Presidential,[2020],P,Principal campaign committee,Q,2019-07-09,2019-07-09,2019-07-09,CITIZENS FOR TOM KAWCZYNSKI,,,REP,REPUBLICAN PARTY,ME,THOMAS J KAWCZYNSKI,,,,,,,,,,,,,,,,,,
2689,,['P00012377'],C00709246,P,Presidential,[2020],P,Principal campaign committee,Q,2019-06-14,2019-06-14,2019-06-14,COCAINE FOR PRESIDENT,,,UNK,UNKNOWN,DC,JAVON G CONNER SR,,,,,,,,,,,,,,,,,,
2784,,['P00006148'],C00652818,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2017-08-10,2017-08-10,2019-09-09,COMMITTEE FOR ROBERT W COOPER JR,,,IND,INDEPENDENT,AZ,ROBERT W COOPER JR,,,,,,,,,,,,,,,,,,
2793,,['P00008672'],C00691022,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2018-11-05,2018-11-05,2018-11-28,COMMITTEE FOR THE ELECTION OF JL GRAY FOR PRESIDENT,,,IND,INDEPENDENT,TN,JULIAN LAPAUL DECARLO GRAY,,,,,,,,,,,,,,,,,,
2863,,['P60005865'],C00703744,P,Presidential,[2020],P,Principal campaign committee,Q,2019-04-23,2019-04-23,2019-05-19,COMMITTEE TO ELECT DAVID RAPHAEL MD PRESIDENT,,,OTH,OTHER,CA,MARK DENSON,,,,,,,,,,,,,,,,,,
2970,,['P00004861'],C00553206,P,Presidential,"[2014, 2016, 2018, 2020]",P,Principal campaign committee,Q,2013-11-26,2014-03-10,2019-07-03,COMMITTEE TO ELECT MICHAEL BICKELMEYER,,,REP,REPUBLICAN PARTY,OH,MICHAEL BICKELMEYER,,,,,,,,,,,,,,,,,,
2981,MADAM PRESIDENT PAC,['P00013201'],C00716431,P,Presidential,[2020],P,Principal campaign committee,Q,2019-08-20,2019-08-20,2019-08-20,COMMITTEE TO ELECT MOSIE BOYD,,,DEM,DEMOCRATIC PARTY,AR,MOSEMARIE BOYD,,,,,,,,,,,,,,,,,,
2997,,['P00010256'],C00697276,P,Presidential,[2020],P,Principal campaign committee,Q,2019-02-19,2019-02-19,2019-02-19,COMMITTEE TO ELECT RAYMOND HAIGOOD FOR PRESIDENT,,,IND,INDEPENDENT,VA,STARRIA HAIGOOD,,,,,,,,,,,,,,,,,,
2999,COMMITTEE TO ELECT REVEREND MICHAEL W SCRUGGS,['P60008067'],C00691899,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2018-11-14,2018-11-14,2018-12-10,COMMITTEE TO ELECT REVEREND MICHAEL W SCRUGGS,,,DEM,DEMOCRATIC PARTY,IL,REVEREND MICHAEL W SCRUGGS,,,,,,,,,,,,,,,,,,
3030,,['P60014396'],C00585802,P,Presidential,"[2016, 2018, 2020]",P,Principal campaign committee,Q,2015-08-31,2017-07-15,2017-07-15,COMMITTEE TO ELECT STEPHEN B COMLEY SR FOR PRESIDENT,,,REP,REPUBLICAN PARTY,MA,STEPHEN B COMLEY SR,,,,,,,,,,,,,,,,,,
3161,REPUBLICAN NATIONAL COMMITTEE,['P00012286'],C00708602,P,Presidential,[2020],P,Principal campaign committee,Q,2019-06-07,2019-06-07,2019-06-07,CONNECTICUT PANCAKE COMMITTEE,,,REP,REPUBLICAN PARTY,CT,"WAFFLES, EGGO",,,,,,,,,,,,,,,,,,
3391,,['P60006111'],C00574624,P,Presidential,"[2016, 2018, 2020]",P,Principal campaign committee,Q,2015-03-23,2015-03-23,2019-07-15,CRUZ FOR PRESIDENT,,,,,TX,BRADLEY S KNIPPA,,,,,,,,,,,,,,,,,,
3534,,['P00006742'],C00665117,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2017-12-26,2019-02-08,2019-02-08,DAVID FRANK FOR PRESIDENT,,,DEM,DEMOCRATIC PARTY,FL,DAVID FRANK,,,,,,,,,,,,,,,,,,
3540,,['P20003174'],C00499723,P,Presidential,"[2012, 2014, 2016, 2018, 2020]",P,Principal campaign committee,Q,2011-07-26,2011-11-10,2019-07-15,DAVID JON SPONHEIM FOR PRESIDENT,,,,,WA,SARAH L HART,,,,,,,,,,,,,,,,,,
3579,,[],C00650606,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2017-07-17,2017-07-17,2019-07-13,DAVIS FOR PRESIDENT,,,,,VA,KAYOLKA DAVIS,,,,,,,,,,,,,,,,,,
3619,,['P00012229'],C00708032,P,Presidential,[2020],P,Principal campaign committee,Q,2019-05-31,2019-05-31,2019-07-14,DEBORAH ANN MARRON FOR REPUBLICAN PRESIDENT 2020,,,REP,REPUBLICAN PARTY,MO,DEBORAH ANN MARRON,,,,,,,,,,,,,,,,,,
3621,,[],C00565754,P,Presidential,"[2014, 2016, 2018, 2020]",P,Principal campaign committee,Q,2014-07-07,2014-07-25,2014-07-25,DEBORAH KIMZEY COMMITTEE TO ELECT,,,IND,INDEPENDENT,TX,DEBORAH KIMZEY,,,,,,,,,,,,,,,,,,
3665,,['P00008037'],C00684142,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2018-08-01,2018-08-01,2018-08-01,DEJAWON JOSHEPH FOR PRESIDENT,,,DEM,DEMOCRATIC PARTY,NC,DEJAWON JOSEPH,,,,,,,,,,,,,,,,,,
3766,,['P60023660'],C00628503,P,Presidential,"[2016, 2018, 2020]",P,Principal campaign committee,Q,2016-11-01,2017-02-07,2017-02-07,DEMOCRATIC SUPPORTING ALLIED PARLIAMENT ISRAEL VALUES IN OUR STATE OF EMERGENCY,,,,,MN,JOSHUA REESE KRONBERG,,,,,,,,,,,,,,,,,,
3805,,['P00013185'],C00716266,P,Presidential,[2020],P,Principal campaign committee,Q,2019-08-19,2019-08-19,2019-08-19,DENNIS LAMBERT FOR PRESIDENT 2020,,,GRE,GREEN PARTY,OH,TIM GLADEAU,,,,,,,,,,,,,,,,,,
3820,,['P00006338'],C00656538,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2017-09-28,2017-09-28,2017-10-03,DERRICK LADARIUS EGGLESTON,,,UNK,UNKNOWN,TN,DERRICK EGGLESTON,,,,,,,,,,,,,,,,,,
3929,,['P60006426'],C00575365,P,Presidential,"[2016, 2018, 2020]",P,Principal campaign committee,Q,2015-04-05,2018-10-01,2018-10-01,DONALD EUGENE LOWE A BETTER CHOICE,,,IND,INDEPENDENT,TX,DONALD EUGENE LOWE,,,,,,,,,,,,,,,,,,
3930,TRUMP VICTORY,['P80001571'],C00580100,P,Presidential,"[2016, 2018, 2020]",P,Principal campaign committee,Q,2015-06-29,2017-01-20,2019-08-08,"DONALD J. TRUMP FOR PRESIDENT, INC.",,,REP,REPUBLICAN PARTY,NY,"CRATE, BRADLEY T. MR.",,,,,,,,,,,,,,,,,,
3934,,[],C00583716,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,,,,DONALD TRUMP ORGANIZATION,,,REP,REPUBLICAN PARTY,NY,MR DONALD J TRUMP,,,,,,,,,,,,,,,,,,
3967,,['P00011635'],C00704023,P,Presidential,[2020],P,Principal campaign committee,Q,2019-04-24,2019-06-06,2019-07-12,DOUG JENKINS,,,IND,INDEPENDENT,WI,JAMES EDWARD SMITH,,,,,,,,,,,,,,,,,,
4014,,['P00010272'],C00697284,P,Presidential,[2020],P,Principal campaign committee,Q,2019-02-21,2019-06-26,2019-06-26,DR JOHN CHRISTOPHER MASON DO (RET),,,DEM,DEMOCRATIC PARTY,NC,VERNON D WOMACK,,,,,,,,,,,,,,,,,,
4026,,['P00009761'],C00695262,P,Presidential,[2020],P,Principal campaign committee,Q,2019-01-29,2019-01-29,2019-05-08,DR RAOUL A ESTRADA MD ESQ,,,,,DC,DR RAOUL A ESTRADA MD ESQ,,,,,,,,,,,,,,,,,,
4077,DWIGHT SMITH'S CAMPAIGN FOR THE AMERICAN PEOPLE,['P00012187'],C00707802,P,Presidential,[2020],P,Principal campaign committee,Q,2019-05-29,2019-05-29,2019-07-15,DWIGHT SMITH'S CAMPAIGN FOR THE AMERICAN PEOPLE,,,NNE,NONE,MI,"SMITH, DWIGHT",,,,,,,,,,,,,,,,,,
4213,ELECT PANCHO VILLAFOR PRESIDENT,['P00012385'],C00709626,P,Presidential,[2020],P,Principal campaign committee,Q,2019-06-19,2019-06-19,2019-06-19,ELECT PANCHO VILLA FOR PRESIDENT,,,DEM,DEMOCRATIC PARTY,TX,"GALVAN, JESSEE MR",,,,,,,,,,,,,,,,,,
4226,,['P20000055'],C00682377,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2018-07-09,2018-07-09,2018-08-07,ELECT UNITED STATES OF AMERICA PRESIDENT KIP LEE,,,LIB,LIBERTARIAN PARTY,CA,KIP LEE,,,,,,,,,,,,,,,,,,
4406,,['P60009230'],C00582197,P,Presidential,"[2016, 2018, 2020]",P,Principal campaign committee,Q,2015-07-28,2015-08-27,2015-08-27,ERWIN FOR PRESIDENT,,,IND,INDEPENDENT,IN,FRANK ERWIN,,,,,,,,,,,,,,,,,,
4436,,['P00008912'],C00692350,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2018-11-30,2018-11-30,2018-11-30,EVERYONE FOR COMMON SENSE,,,IND,INDEPENDENT,VA,RAEFORD GAMELLE SMITH SR,,,,,,,,,,,,,,,,,,
4690,,['P00013383'],C00718080,P,Presidential,[2020],P,Principal campaign committee,Q,2019-09-03,2019-09-03,2019-09-03,FLYNN2020,,,REP,REPUBLICAN PARTY,CT,JOHN FLYNN,,,,,,,,,,,,,,,,,,
4734,,['P80000672'],C00687111,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2018-09-10,2018-09-10,2019-01-28,"FOR TIMES O'PLENTY, VOTE HOFF PRESIDENT IN '20",,,IND,INDEPENDENT,DE,PHYLLIS R OLIVETO-HOFF,,,,,,,,,,,,,,,,,,
4761,,['P60005303'],C00563536,P,Presidential,"[2014, 2016, 2018, 2020]",P,Principal campaign committee,Q,2014-05-20,2019-04-11,2019-04-11,FOX FOR PRESIDENT ,,,IND,INDEPENDENT,MI,CHERUNDA LYNN FOX,,,,,,,,,,,,,,,,,,
4779,,['P00012609'],C00710806,P,Presidential,[2020],P,Principal campaign committee,Q,2019-07-01,2019-07-01,2019-07-30,FRAN WALKER,,,REP,REPUBLICAN PARTY,NC,ERIC LAMONT MATHIS,,,,,,,,,,,,,,,,,,
4863,,['P60023652'],C00687251,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2018-09-04,2018-12-06,2018-12-06,FRIENDS OF ALBERT FELIX LIBERAL COMMITTEE,,,LBL,LIBERAL PARTY,CA,ALBERT FELIX,,,,,,,,,,,,,,,,,,
4893,,['P00011908'],C00706127,P,Presidential,[2020],P,Principal campaign committee,Q,2019-05-09,2019-06-14,2019-06-14,FRIENDS OF CATHY JOHNSON PENDLETON,,,REP,REPUBLICAN PARTY,MD,LINDA W. HALE,,,,,,,,,,,,,,,,,,
4898,,['P00010074'],C00696450,P,Presidential,[2020],P,Principal campaign committee,Q,2019-02-11,2019-02-11,2019-04-08,FRIENDS OF CHRIS DOLIN FOR PRESIDENT 2020,,,DEM,DEMOCRATIC PARTY,NC,CHRIS DOLIN,,,,,,,,,,,,,,,,,,
5015,,['P00005900'],C00639021,P,Presidential,"[2018, 2020]",U,Unauthorized,Q,2017-05-01,2019-01-31,2019-07-31,FRIENDS OF KEITH DAVENPORT FOR PRESIDENT,,,REP,REPUBLICAN PARTY,NC,"BROOKS, TONI D",,,,,,,,,,,,,,,,,,
5024,ACTBLUE,['P00009456'],C00694513,P,Presidential,[2020],P,Principal campaign committee,Q,2019-01-22,2019-04-17,2019-07-15,FRIENDS OF KURTIS WILSON,,,DEM,DEMOCRATIC PARTY,CA,"WILSON, KURTIS MR",,,,,,,,,,,,,,,,,,
5253,GARY JOHNSON 2016,['P20002671'],C00495622,P,Presidential,"[2012, 2014, 2016, 2018, 2020]",P,Principal campaign committee,Q,2011-04-21,2018-07-11,2019-07-15,GARY JOHNSON 2012 INC,,,LIB,LIBERTARIAN PARTY,VA,"NEEDHAM, CHRISTINA",,,,,,,,,,,,,,,,,,
5254,GARY JOHNSON VICTORY FUND,['P20002671'],C00605568,P,Presidential,"[2016, 2018, 2020]",P,Principal campaign committee,Q,2016-01-19,2016-06-13,2019-07-15,GARY JOHNSON 2016,,,LIB,LIBERTARIAN PARTY,UT,"MCCAULEY, MIKE",,,,,,,,,,,,,,,,,,
5306,,[],C00576553,P,Presidential,"[2016, 2018, 2020]",P,Principal campaign committee,Q,2015-04-04,2015-04-22,2015-05-12,GEORGE W DIETRICH II FOR PRESIDENT,,,DEM,DEMOCRATIC PARTY,WV,SKETCH DIETRICH,,,,,,,,,,,,,,,,,,
5357,,['P80003379'],C00582668,P,Presidential,"[2016, 2018, 2020]",P,Principal campaign committee,T,2015-08-04,2015-08-04,2019-08-04,GILMORE FOR AMERICA LLC,,,REP,REPUBLICAN PARTY,VA,KAREN F MARCUS,,,,,,,,,,,,,,,,,,
5431,,['P60004322'],C00708008,P,Presidential,[2020],P,Principal campaign committee,Q,2019-05-31,2019-05-31,2019-05-31,GO OGLE 2020 THE LIBERTARIAN ONE,,,LIB,LIBERTARIAN PARTY,CA,JAMES ORLANDO OGLE,,,,,,,,,,,,,,,,,,
5480,XL AMERICA INC POLITICAL ACTION COMMITTEE,[],C00694901,P,Presidential,[2020],P,Principal campaign committee,Q,2019-01-28,2019-01-28,2019-01-28,GRANT HEIGHTS-HYDE LAWSON,,,ACE,ACE PARTY,CA,"HYDE, TORI",,,,,,,,,,,,,,,,,,
5604,,['P00013425'],C00718452,P,Presidential,[2020],P,Principal campaign committee,Q,2019-08-30,2019-08-30,2019-08-30,GRUNDMANN FOR PRESIDENT,,,CON,CONSTITUTION PARTY,CA,JOHN GONSALVES,,,,,,,,,,,,,,,,,,
5840,,['P00003392'],C00575795,P,Presidential,"[2016, 2018, 2020]",P,Principal campaign committee,Q,2015-04-13,2018-05-31,2019-07-15,HILLARY FOR AMERICA,,,DEM,DEMOCRATIC PARTY,NY,"JONES, ELIZABETH",,,,,,,,,,,,,,,,,,
5872,,['P80005226'],C00443754,P,Presidential,"[2008, 2010, 2012, 2014, 2016, 2018, 2020]",P,Principal campaign committee,Q,2008-01-22,2008-01-22,2015-04-15,HOA TRAN FOR US PRESIDENT 2008,,,REP,REPUBLICAN PARTY,TX,GIANNIBICEGO HOA TRAN,,,,,,,,,,,,,,,,,,
6102,,['P60006277'],C00575803,P,Presidential,"[2016, 2018, 2020]",A,Authorized by a candidate,Q,2015-04-13,2015-04-13,2015-04-30,INCE FOR PRESIDENT 2016 - RESTORE LIBERTY,,,LIB,LIBERTARIAN PARTY,MO,CECIL ANTHONY INCE,,,,,,,,,,,,,,,,,,
6189,,['P80003890'],C00646893,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2017-05-31,2017-07-24,2017-07-24,INTEGRIGATED REVIVAL C/O LIZA DAWN CHERRICKS,,,IND,INDEPENDENT,DE,LIZA DAWN CHERRICKS,,,,,,,,,,,,,,,,,,
6386,,['P00012815'],C00712307,P,Presidential,[2020],P,Principal campaign committee,Q,2019-07-15,2019-09-09,2019-09-09,JAMES A VESTERMARK FOR PRESIDENT,,,REP,REPUBLICAN PARTY,NC,JAMES A VESTERMARK,,,,,,,,,,,,,,,,,,
6411,,['P40003766'],C00690909,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2018-10-31,,2018-10-31,JAMISON FOR PRESIDENT,,,,,PA,OSAMWONYI JAMISON,,,,,,,,,,,,,,,,,,
6417,,['P00006221'],C00673814,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2018-03-20,2018-03-20,2018-09-24,JANELLE MARIE NOWELL,,,DEM,DEMOCRATIC PARTY,CA,JANELLE MARIE NOWELL,,,,,,,,,,,,,,,,,,
6462,,['P00008219'],C00685685,P,Presidential,"[2018, 2020]",P,Principal campaign committee,T,2018-08-16,2018-11-02,2019-02-05,JAY P PRIDMORE FOR PRESIDENT,,,NPA,NO PARTY AFFILIATION,AL,JAY P PRIDMORE,,,,,,,,,,,,,,,,,,
6477,,['P60008059'],C00579458,P,Presidential,"[2016, 2018, 2020]",P,Principal campaign committee,Q,2015-06-15,2015-06-15,2019-07-01,"JEB 2016, INC.",,,REP,REPUBLICAN PARTY,NC,WILLIAM SIMON,,,,,,,,,,,,,,,,,,
6481,,[],C00567578,P,Presidential,"[2014, 2016, 2018, 2020]",P,Principal campaign committee,Q,2014-08-25,2014-08-25,2014-08-25,JEFF BOSS FOR PRESIDENT 2016,,,DEM,DEMOCRATIC PARTY,NJ,JEFF BOSS,,,,,,,,,,,,,,,,,,
6503,,['P20002689'],C00680116,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2018-06-04,2018-06-04,2018-06-04,JEFFREY BAREA 4 PRESIDENT,,,REP,REPUBLICAN PARTY,NC,BAREA JEFFREY,,,,,,,,,,,,,,,,,,
6535,,['P00000679'],C00214999,P,Presidential,"[1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]",P,Principal campaign committee,A,1987-05-06,1987-05-06,2019-07-12,JERRY CARROLL COMMITTEE FOR PRESIDENT,,,IND,INDEPENDENT,CA,JERRY CARROLL,,,,,,,,,,,,,,,,,,
6555,,['P60007002'],C00576645,P,Presidential,"[2016, 2018, 2020]",P,Principal campaign committee,Q,2015-04-14,2016-08-30,2016-11-16,JESUS BLESS NICHOLAS EVANS FOR OFFICE,,,REP,REPUBLICAN PARTY,KS,NICK EVANS,,,,,,,,,,,,,,,,,,
6556,,['P00010546'],C00698290,P,Presidential,[2020],P,Principal campaign committee,Q,2019-03-04,2019-03-04,2019-04-18,JES-US-THOMAE,,,REP,REPUBLICAN PARTY,IN,MARY ANN GRILLO,,,,,,,,,,,,,,,,,,
6610,,['P00003814'],C00691121,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2018-11-06,2018-11-06,2018-11-06,JOAN MALONE FOR PRESIDENT,,,REP,REPUBLICAN PARTY,DC,JOAN F M MALONE,,,,,,,,,,,,,,,,,,
6652,,[],C00631119,P,Presidential,"[2018, 2020]",P,Principal campaign committee,Q,2017-01-17,2017-01-17,2017-02-05,JOHN A DAVEY,,,DEM,DEMOCRATIC PARTY,NH,MARK BRODEVR,,,,,,,,,,,,,,,,,,
6715,,['P60005170'],C00590083,P,Presidential,"[2016, 2018, 2020]",P,Principal campaign committee,Q,2015-10-14,2015-10-19,2016-08-01,JOHN SCHIESS FOR US PRESIDENT,,,REP,REPUBLICAN PARTY,WI,JOHN SCHIESS,,,,,,,,,,,,,,,,,,
6737,,[],C00718031,P,Presidential,[2020],P,Principal campaign committee,Q,2019-08-28,2019-08-28,2019-08-28,JO JORGENSEN FOR PRESIDENT,,,LIB,LIBERTARIAN PARTY,SC,JEFFREY LEIGH DIMIT,,,,,,,,,,,,,,,,,,
6767,,['P00010652'],C00698464,P,Presidential,[2020],P,Principal campaign committee,Q,2019-03-05,2019-03-05,2019-06-24,JOSE FONT FOR PRESIDENT,,,DEM,DEMOCRATIC PARTY,DC,JOSE FONT,,,,,,,,,,,,,,,,,,
6809,,['P00012476'],C00710046,P,Presidential,[2020],P,Principal campaign committee,Q,2019-06-25,2019-06-25,2019-06-25,JUAN M BUENROSTRO FOR PRESIDENT,,,DEM,DEMOCRATIC PARTY,CA,JUAN M BUENROSTRO,,,,,,,,,,,,,,,,,,
6832,,['P60004991'],C00550111,P,Presidential,"[2014, 2016, 2018, 2020]",P,Principal campaign committee,Q,2013-09-27,2019-06-12,2019-07-17,JUNE LLOYD ORGANIZING AMERICA 2020,,,IND,INDEPENDENT,OH,JUNE LA'GAY LLOYD,,,,,,,,,,,,,,,,,,
6956,,[],C00713032,P,Presidential,[2020],P,Principal campaign committee,Q,2019-07-19,2019-07-19,2019-08-22,KEITHJOSHUALIDDELL FOR PRESIDENT,,,NNE,NONE,CA,KEITH LIDDELL,,,,,,,,,,,,,,,,,,
